Gene,p_value,odds_ratio,n_strong_present,n_weak_present,p_adj,Direction,Category
nnr_1~~~nnr_2,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_3177,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_3158,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_3134,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3127,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
rcsC_4~~~rcsC_10,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_3080,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_3054,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_2997,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_2996,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
qseC_1~~~qseC_3,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_2930,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_2929,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_2905,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
tpiA_1,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_2904,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
sasA_1~~~sasA_3,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
fda,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_2804,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_2717,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_2590,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_2262,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_2017,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_2005,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_1781,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
yodB_2,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
pat_1,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_1321,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_1248,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_1116,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
anr_1,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_1004,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
uspE_2,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
uspE_1,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
apbE,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
adhA,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_623,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
czcO,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
ackA,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_490,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_319,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
ohyA,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_121,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_96,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
xpkA,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
ndvB,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_3429,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_3418,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_3395,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_3394,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_3390,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
