Gene,estimate,std_error,t_value,p_value,r_squared,p_adj
group_3313,33.102665637142856,10.950351807928717,3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_3260,33.102665637142856,10.950351807928717,3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_3175,33.102665637142856,10.950351807928717,3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_1548,33.102665637142856,10.950351807928717,3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_1346,33.102665637142856,10.950351807928717,3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
qseB_3,33.102665637142856,10.950351807928717,3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_1294,33.102665637142856,10.950351807928717,3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_1287,33.102665637142856,10.950351807928717,3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
fabG_4,33.102665637142856,10.950351807928717,3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
rssA,33.102665637142856,10.950351807928717,3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
putP_2,33.102665637142856,10.950351807928717,3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
menE,33.102665637142856,10.950351807928717,3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
gltF_7,29.874245459166676,9.526357208114668,3.135956883258527,0.006380425582967931,0.38066655203648164,0.028971294934745897
group_3158,29.689241276750007,8.76282551408586,3.388089974977346,0.003753309776669585,0.41774043745407874,0.028971294934745897
group_3282,29.095281565555556,8.794385559702869,3.3083927658203085,0.004440095727024008,0.40620800680491426,0.028971294934745897
group_3246,29.428057716666668,8.724907973608008,3.372878866537465,0.003875701155297124,0.4155531216681008,0.028971294934745897
group_3581,-29.09528156555557,8.794385559702869,-3.30839276582031,0.004440095727023999,0.40620800680491465,0.028971294934745897
group_3476,-29.09528156555557,8.794385559702869,-3.30839276582031,0.004440095727023999,0.40620800680491465,0.028971294934745897
group_3252,-29.09528156555557,8.794385559702869,-3.30839276582031,0.004440095727023999,0.40620800680491465,0.028971294934745897
ywnA,-29.09528156555557,8.794385559702869,-3.30839276582031,0.004440095727023999,0.40620800680491465,0.028971294934745897
group_4257,-33.37487951369232,9.62774526327786,-3.466531217957206,0.003180594024034639,0.4289148686669907,0.028971294934745897
group_4256,-33.37487951369232,9.62774526327786,-3.466531217957206,0.003180594024034639,0.4289148686669907,0.028971294934745897
group_4255,-33.37487951369232,9.62774526327786,-3.466531217957206,0.003180594024034639,0.4289148686669907,0.028971294934745897
group_4253,-33.37487951369232,9.62774526327786,-3.466531217957206,0.003180594024034639,0.4289148686669907,0.028971294934745897
group_4251,-33.37487951369232,9.62774526327786,-3.466531217957206,0.003180594024034639,0.4289148686669907,0.028971294934745897
group_4248,-33.37487951369232,9.62774526327786,-3.466531217957206,0.003180594024034639,0.4289148686669907,0.028971294934745897
group_4247,-33.37487951369232,9.62774526327786,-3.466531217957206,0.003180594024034639,0.4289148686669907,0.028971294934745897
group_3380,-33.37487951369232,9.62774526327786,-3.466531217957206,0.003180594024034639,0.4289148686669907,0.028971294934745897
group_3375,-33.37487951369232,9.62774526327786,-3.466531217957206,0.003180594024034639,0.4289148686669907,0.028971294934745897
group_3367,-33.37487951369232,9.62774526327786,-3.466531217957206,0.003180594024034639,0.4289148686669907,0.028971294934745897
group_3355,-33.37487951369232,9.62774526327786,-3.466531217957206,0.003180594024034639,0.4289148686669907,0.028971294934745897
group_3326,-33.37487951369232,9.62774526327786,-3.466531217957206,0.003180594024034639,0.4289148686669907,0.028971294934745897
group_3325,-33.37487951369232,9.62774526327786,-3.466531217957206,0.003180594024034639,0.4289148686669907,0.028971294934745897
group_3251,-33.37487951369232,9.62774526327786,-3.466531217957206,0.003180594024034639,0.4289148686669907,0.028971294934745897
group_3137,-33.37487951369232,9.62774526327786,-3.466531217957206,0.003180594024034639,0.4289148686669907,0.028971294934745897
group_2227,-33.37487951369232,9.62774526327786,-3.466531217957206,0.003180594024034639,0.4289148686669907,0.028971294934745897
group_4266,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4263,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4261,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4259,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4258,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4254,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4250,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4249,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4246,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4244,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
hin_3,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4243,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4242,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4241,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4240,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4239,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4238,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4237,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4236,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4235,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4234,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4233,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4232,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4231,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4230,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4229,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4228,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4227,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4226,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4225,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4224,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4223,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4222,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4221,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4220,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4219,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4218,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4217,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4216,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4215,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4214,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4213,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4212,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4211,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4210,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4209,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4208,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4207,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4206,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4205,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
higB_2,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4204,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
