Isolate,Pond,InhibitoryType,N_unique_genes
632B,Sixty Lake,Strongly Inhibitory,263
642A,Sixty Lake,Weakly Inhibitory,143
623B,Sixty Lake,Strongly Inhibitory,73
CP15C,Conness Pond,Weakly Inhibitory,2
633A,Sixty Lake,Strongly Inhibitory,1
643E,Sixty Lake,Strongly Inhibitory,1
CP10A,Conness Pond,Strongly Inhibitory,1
CP17D,Conness Pond,Weakly Inhibitory,1
