Gene,estimate,std_error,t_value,p_value,r_squared,p_adj
group_3653,32.044799939333345,13.048758547425795,2.4557738441451207,0.025871967215783356,0.2737448609422784,0.11680043278157182
group_3313,27.40742221214287,11.893230625676157,2.3044556247798056,0.03493802379289124,0.2491969596003632,0.11680043278157182
group_3260,27.40742221214287,11.893230625676157,2.3044556247798056,0.03493802379289124,0.2491969596003632,0.11680043278157182
group_3175,27.40742221214287,11.893230625676157,2.3044556247798056,0.03493802379289124,0.2491969596003632,0.11680043278157182
group_1548,27.40742221214287,11.893230625676157,2.3044556247798056,0.03493802379289124,0.2491969596003632,0.11680043278157182
group_1346,27.40742221214287,11.893230625676157,2.3044556247798056,0.03493802379289124,0.2491969596003632,0.11680043278157182
qseB_3,27.40742221214287,11.893230625676157,2.3044556247798056,0.03493802379289124,0.2491969596003632,0.11680043278157182
group_1294,27.40742221214287,11.893230625676157,2.3044556247798056,0.03493802379289124,0.2491969596003632,0.11680043278157182
group_1287,27.40742221214287,11.893230625676157,2.3044556247798056,0.03493802379289124,0.2491969596003632,0.11680043278157182
fabG_4,27.40742221214287,11.893230625676157,2.3044556247798056,0.03493802379289124,0.2491969596003632,0.11680043278157182
rssA,27.40742221214287,11.893230625676157,2.3044556247798056,0.03493802379289124,0.2491969596003632,0.11680043278157182
putP_2,27.40742221214287,11.893230625676157,2.3044556247798056,0.03493802379289124,0.2491969596003632,0.11680043278157182
menE,27.40742221214287,11.893230625676157,2.3044556247798056,0.03493802379289124,0.2491969596003632,0.11680043278157182
peb1A_2,28.23581200538462,10.605768373340416,2.6623070588983087,0.017035865970325675,0.30699567136376105,0.11680043278157182
group_3853,28.23581200538462,10.605768373340416,2.6623070588983087,0.017035865970325675,0.30699567136376105,0.11680043278157182
tcyC_3,28.23581200538462,10.605768373340416,2.6623070588983087,0.017035865970325675,0.30699567136376105,0.11680043278157182
fliY_6,28.23581200538462,10.605768373340416,2.6623070588983087,0.017035865970325675,0.30699567136376105,0.11680043278157182
gltC_5,28.23581200538462,10.605768373340416,2.6623070588983087,0.017035865970325675,0.30699567136376105,0.11680043278157182
yecS_4,28.23581200538462,10.605768373340416,2.6623070588983087,0.017035865970325675,0.30699567136376105,0.11680043278157182
aatB,28.23581200538462,10.605768373340416,2.6623070588983087,0.017035865970325675,0.30699567136376105,0.11680043278157182
group_3852,28.23581200538462,10.605768373340416,2.6623070588983087,0.017035865970325675,0.30699567136376105,0.11680043278157182
yfcG_5,28.23581200538462,10.605768373340416,2.6623070588983087,0.017035865970325675,0.30699567136376105,0.11680043278157182
metZ_1,28.23581200538462,10.605768373340416,2.6623070588983087,0.017035865970325675,0.30699567136376105,0.11680043278157182
glnM,28.23581200538462,10.605768373340416,2.6623070588983087,0.017035865970325675,0.30699567136376105,0.11680043278157182
group_287,28.23581200538462,10.605768373340416,2.6623070588983087,0.017035865970325675,0.30699567136376105,0.11680043278157182
gltF_7,29.874245459166676,9.526357208114668,3.135956883258527,0.006380425582967931,0.38066655203648164,0.11680043278157182
group_3158,25.702570879250008,9.517821026997302,2.7004679754267977,0.015756894099056246,0.3130844153005747,0.11680043278157182
group_3282,29.095281565555556,8.794385559702869,3.3083927658203085,0.004440095727024008,0.40620800680491426,0.11680043278157182
group_3246,29.428057716666668,8.72490797360801,3.372878866537464,0.0038757011552971385,0.4155531216681008,0.11680043278157182
group_3581,-29.095281565555574,8.794385559702869,-3.3083927658203103,0.004440095727023994,0.4062080068049146,0.11680043278157182
group_3476,-29.095281565555574,8.794385559702869,-3.3083927658203103,0.004440095727023994,0.4062080068049146,0.11680043278157182
group_3252,-29.095281565555574,8.794385559702869,-3.3083927658203103,0.004440095727023994,0.4062080068049146,0.11680043278157182
group_2874,23.050635981249993,9.933255396312697,2.320552030687399,0.03384798578234366,0.2518106787302052,0.11680043278157182
group_1894,23.050635981249993,9.933255396312697,2.320552030687399,0.03384798578234366,0.2518106787302052,0.11680043278157182
ywnA,-29.095281565555574,8.794385559702869,-3.3083927658203103,0.004440095727023994,0.4062080068049146,0.11680043278157182
group_973,23.050635981249993,9.933255396312697,2.320552030687399,0.03384798578234366,0.2518106787302052,0.11680043278157182
group_815,23.050635981249993,9.933255396312697,2.320552030687399,0.03384798578234366,0.2518106787302052,0.11680043278157182
gcvA_4,23.050635981249993,9.933255396312697,2.320552030687399,0.03384798578234366,0.2518106787302052,0.11680043278157182
group_3531,-25.513748926250017,9.549520404064735,-2.671730919114026,0.01671105113065445,0.3085012114635075,0.11680043278157182
group_3182,-25.513748926250017,9.549520404064735,-2.671730919114026,0.01671105113065445,0.3085012114635075,0.11680043278157182
group_412,-25.513748926250017,9.549520404064735,-2.671730919114026,0.01671105113065445,0.3085012114635075,0.11680043278157182
group_3643,24.289378178333337,10.471748767427824,2.3195149843438747,0.03391724379412028,0.25164228606145006,0.11680043278157182
group_4257,-28.468208255230785,10.566868513671041,-2.694100737451178,0.015963677389493367,0.3120699540186359,0.11680043278157182
group_4256,-28.468208255230785,10.566868513671041,-2.694100737451178,0.015963677389493367,0.3120699540186359,0.11680043278157182
group_4255,-28.468208255230785,10.566868513671041,-2.694100737451178,0.015963677389493367,0.3120699540186359,0.11680043278157182
group_4253,-28.468208255230785,10.566868513671041,-2.694100737451178,0.015963677389493367,0.3120699540186359,0.11680043278157182
group_4251,-28.468208255230785,10.566868513671041,-2.694100737451178,0.015963677389493367,0.3120699540186359,0.11680043278157182
group_4248,-28.468208255230785,10.566868513671041,-2.694100737451178,0.015963677389493367,0.3120699540186359,0.11680043278157182
group_4247,-28.468208255230785,10.566868513671041,-2.694100737451178,0.015963677389493367,0.3120699540186359,0.11680043278157182
group_3536,-28.23581200538463,10.60576837334042,-2.6623070588983087,0.017035865970325675,0.306995671363761,0.11680043278157182
group_3404,-28.23581200538463,10.60576837334042,-2.6623070588983087,0.017035865970325675,0.306995671363761,0.11680043278157182
group_3398,-28.23581200538463,10.60576837334042,-2.6623070588983087,0.017035865970325675,0.306995671363761,0.11680043278157182
group_3380,-28.468208255230785,10.566868513671041,-2.694100737451178,0.015963677389493367,0.3120699540186359,0.11680043278157182
group_3375,-28.468208255230785,10.566868513671041,-2.694100737451178,0.015963677389493367,0.3120699540186359,0.11680043278157182
group_3367,-28.468208255230785,10.566868513671041,-2.694100737451178,0.015963677389493367,0.3120699540186359,0.11680043278157182
group_3355,-28.468208255230785,10.566868513671041,-2.694100737451178,0.015963677389493367,0.3120699540186359,0.11680043278157182
group_3354,-28.23581200538463,10.60576837334042,-2.6623070588983087,0.017035865970325675,0.306995671363761,0.11680043278157182
group_3341,-28.23581200538463,10.60576837334042,-2.6623070588983087,0.017035865970325675,0.306995671363761,0.11680043278157182
group_3340,-28.23581200538463,10.60576837334042,-2.6623070588983087,0.017035865970325675,0.306995671363761,0.11680043278157182
group_3326,-28.468208255230785,10.566868513671041,-2.694100737451178,0.015963677389493367,0.3120699540186359,0.11680043278157182
group_3325,-28.468208255230785,10.566868513671041,-2.694100737451178,0.015963677389493367,0.3120699540186359,0.11680043278157182
group_3321,-28.23581200538463,10.60576837334042,-2.6623070588983087,0.017035865970325675,0.306995671363761,0.11680043278157182
group_3280,-28.23581200538463,10.60576837334042,-2.6623070588983087,0.017035865970325675,0.306995671363761,0.11680043278157182
group_3257,-28.23581200538463,10.60576837334042,-2.6623070588983087,0.017035865970325675,0.306995671363761,0.11680043278157182
group_3251,-28.468208255230785,10.566868513671041,-2.694100737451178,0.015963677389493367,0.3120699540186359,0.11680043278157182
xerC_7~~~xerC_4,-28.23581200538463,10.60576837334042,-2.6623070588983087,0.017035865970325675,0.306995671363761,0.11680043278157182
group_3137,-28.468208255230785,10.566868513671041,-2.694100737451178,0.015963677389493367,0.3120699540186359,0.11680043278157182
group_3103,-28.23581200538463,10.60576837334042,-2.6623070588983087,0.017035865970325675,0.306995671363761,0.11680043278157182
group_3076,-28.23581200538463,10.60576837334042,-2.6623070588983087,0.017035865970325675,0.306995671363761,0.11680043278157182
group_2227,-28.468208255230785,10.566868513671041,-2.694100737451178,0.015963677389493367,0.3120699540186359,0.11680043278157182
group_2213,-28.23581200538463,10.60576837334042,-2.6623070588983087,0.017035865970325675,0.306995671363761,0.11680043278157182
group_2141,-28.23581200538463,10.60576837334042,-2.6623070588983087,0.017035865970325675,0.306995671363761,0.11680043278157182
group_2140,-28.23581200538463,10.60576837334042,-2.6623070588983087,0.017035865970325675,0.306995671363761,0.11680043278157182
group_1771,-28.23581200538463,10.60576837334042,-2.6623070588983087,0.017035865970325675,0.306995671363761,0.11680043278157182
group_1770,-28.23581200538463,10.60576837334042,-2.6623070588983087,0.017035865970325675,0.306995671363761,0.11680043278157182
group_1762,-28.23581200538463,10.60576837334042,-2.6623070588983087,0.017035865970325675,0.306995671363761,0.11680043278157182
group_1568,-28.23581200538463,10.60576837334042,-2.6623070588983087,0.017035865970325675,0.306995671363761,0.11680043278157182
group_1487,-28.23581200538463,10.60576837334042,-2.6623070588983087,0.017035865970325675,0.306995671363761,0.11680043278157182
group_1377,-28.23581200538463,10.60576837334042,-2.6623070588983087,0.017035865970325675,0.306995671363761,0.11680043278157182
group_1328,-28.23581200538463,10.60576837334042,-2.6623070588983087,0.017035865970325675,0.306995671363761,0.11680043278157182
pgrR_2,-28.23581200538463,10.60576837334042,-2.6623070588983087,0.017035865970325675,0.306995671363761,0.11680043278157182
dadA,-28.23581200538463,10.60576837334042,-2.6623070588983087,0.017035865970325675,0.306995671363761,0.11680043278157182
mtaD_1,-28.23581200538463,10.60576837334042,-2.6623070588983087,0.017035865970325675,0.306995671363761,0.11680043278157182
group_97,-28.23581200538463,10.60576837334042,-2.6623070588983087,0.017035865970325675,0.306995671363761,0.11680043278157182
group_4266,-27.407422212142855,11.893230625676157,-2.3044556247798047,0.03493802379289131,0.24919695960036325,0.11680043278157182
group_4263,-27.407422212142855,11.893230625676157,-2.3044556247798047,0.03493802379289131,0.24919695960036325,0.11680043278157182
group_4261,-27.407422212142855,11.893230625676157,-2.3044556247798047,0.03493802379289131,0.24919695960036325,0.11680043278157182
group_4259,-27.407422212142855,11.893230625676157,-2.3044556247798047,0.03493802379289131,0.24919695960036325,0.11680043278157182
group_4258,-27.407422212142855,11.893230625676157,-2.3044556247798047,0.03493802379289131,0.24919695960036325,0.11680043278157182
group_4254,-27.407422212142855,11.893230625676157,-2.3044556247798047,0.03493802379289131,0.24919695960036325,0.11680043278157182
group_4250,-27.407422212142855,11.893230625676157,-2.3044556247798047,0.03493802379289131,0.24919695960036325,0.11680043278157182
group_4249,-27.407422212142855,11.893230625676157,-2.3044556247798047,0.03493802379289131,0.24919695960036325,0.11680043278157182
group_4246,-27.407422212142855,11.893230625676157,-2.3044556247798047,0.03493802379289131,0.24919695960036325,0.11680043278157182
group_4244,-27.407422212142855,11.893230625676157,-2.3044556247798047,0.03493802379289131,0.24919695960036325,0.11680043278157182
hin_3,-27.407422212142855,11.893230625676157,-2.3044556247798047,0.03493802379289131,0.24919695960036325,0.11680043278157182
group_4243,-27.407422212142855,11.893230625676157,-2.3044556247798047,0.03493802379289131,0.24919695960036325,0.11680043278157182
group_4242,-27.407422212142855,11.893230625676157,-2.3044556247798047,0.03493802379289131,0.24919695960036325,0.11680043278157182
group_4241,-27.407422212142855,11.893230625676157,-2.3044556247798047,0.03493802379289131,0.24919695960036325,0.11680043278157182
group_4240,-27.407422212142855,11.893230625676157,-2.3044556247798047,0.03493802379289131,0.24919695960036325,0.11680043278157182
