Gene,p_value,odds_ratio,n_SixtyLake,n_ConnessPond,p_adj,Direction
group_4330,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
group_3678,0.0022624434389140256,Inf,7,0,0.44163070633658924,Enriched in Sixty Lake
group_3529,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
group_3496,0.0022624434389140256,Inf,7,0,0.44163070633658924,Enriched in Sixty Lake
group_3425,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
group_3423,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
group_3402,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
group_3401,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
group_3396,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
group_3393,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
group_3388,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
group_3374,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
group_3373,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
group_3366,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
group_3365,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
group_3362,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
group_3352,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
group_3350,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
yscU_3~~~yscU_1,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
group_3345,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
group_3318,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
group_3317,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
group_3311,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
spaP_2~~~spaP_1,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
group_3306,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
rcsC_24~~~rcsC_1,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
group_3293,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
group_3265,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
group_3209,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
rhaS_8~~~rhaS_2,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
group_3164,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
group_3155,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
yscN_2~~~yscN_1,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
tri1_1,0.0022624434389140256,Inf,7,0,0.44163070633658924,Enriched in Sixty Lake
nanT_1~~~naiP_1,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
group_2938,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
group_2936,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
group_2935,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
group_2818,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
group_2735,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
group_2734,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
group_2671,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
group_2670,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
group_2581,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
spaQ,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
group_2315,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
group_2193,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
group_2096,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
group_2052,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
group_1741,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
group_1464,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
