Gene,p_value,odds_ratio,n_strong_present,n_weak_present,p_adj,Direction
trpA,1,0,11,7,1,Enriched in Strong
dauA_2,1,0,11,7,1,Enriched in Strong
ctaA,1,0,11,7,1,Enriched in Strong
trpI,1,0,11,7,1,Enriched in Strong
katE,1,0,11,7,1,Enriched in Strong
group_3799,1,0,11,7,1,Enriched in Strong
ctaD,1,0,11,7,1,Enriched in Strong
qorA_4,1,0,11,7,1,Enriched in Strong
group_3798,1,0,11,7,1,Enriched in Strong
group_3797,1,0,11,7,1,Enriched in Strong
surE,1,0,11,7,1,Enriched in Strong
group_3795,1,0,11,7,1,Enriched in Strong
pcm,1,0,11,7,1,Enriched in Strong
group_3793,1,0,11,7,1,Enriched in Strong
group_3791,1,0,11,7,1,Enriched in Strong
slyB,1,0,11,7,1,Enriched in Strong
pyrG_2,1,0,11,7,1,Enriched in Strong
lig,1,0,11,7,1,Enriched in Strong
mdtA_4,1,0,11,7,1,Enriched in Strong
group_3788,1,0,11,7,1,Enriched in Strong
ispU,1,0,11,7,1,Enriched in Strong
group_3787,1,0,11,7,1,Enriched in Strong
group_3782,1,0,11,7,1,Enriched in Strong
dmlR_24,1,0,11,7,1,Enriched in Strong
group_3779,1,0,11,7,1,Enriched in Strong
group_3778,1,0,11,7,1,Enriched in Strong
group_3777,1,0,11,7,1,Enriched in Strong
group_3776,1,0,11,7,1,Enriched in Strong
frmA,1,0,11,7,1,Enriched in Strong
bamA_2,1,0,11,7,1,Enriched in Strong
group_3771,1,0,11,7,1,Enriched in Strong
hisP_3,1,0,11,7,1,Enriched in Strong
ispF,1,0,11,7,1,Enriched in Strong
group_3770,1,0,11,7,1,Enriched in Strong
quiP_2,1,0,11,7,1,Enriched in Strong
pcaR,1,0,11,7,1,Enriched in Strong
group_3769,1,0,11,7,1,Enriched in Strong
group_3768,1,0,11,7,1,Enriched in Strong
lptB_5,1,0,11,7,1,Enriched in Strong
yeiG,1,0,11,7,1,Enriched in Strong
kdsA,1,0,11,7,1,Enriched in Strong
dbpA_2,1,0,11,7,1,Enriched in Strong
plsB,1,0,11,7,1,Enriched in Strong
braC_2,1,0,11,7,1,Enriched in Strong
pcaK_2,1,0,11,7,1,Enriched in Strong
ompA,1,0,11,7,1,Enriched in Strong
rpoS,1,0,11,7,1,Enriched in Strong
group_3762,1,0,11,7,1,Enriched in Strong
group_3760,1,0,11,7,1,Enriched in Strong
livH_5,1,0,11,7,1,Enriched in Strong
group_3759,1,0,11,7,1,Enriched in Strong
livF_7,1,0,11,7,1,Enriched in Strong
frr,1,0,11,7,1,Enriched in Strong
lpxB,1,0,11,7,1,Enriched in Strong
group_3757,1,0,11,7,1,Enriched in Strong
catI,1,0,11,7,1,Enriched in Strong
group_3756,1,0,11,7,1,Enriched in Strong
rnhB,1,0,11,7,1,Enriched in Strong
pcaH,1,0,11,7,1,Enriched in Strong
group_3755,1,0,11,7,1,Enriched in Strong
yffB,1,0,11,7,1,Enriched in Strong
yfeW,1,0,11,7,1,Enriched in Strong
eno,1,0,11,7,1,Enriched in Strong
lpxA,1,0,11,7,1,Enriched in Strong
glnD,1,0,11,7,1,Enriched in Strong
group_3753,1,0,11,7,1,Enriched in Strong
group_3751,1,0,11,7,1,Enriched in Strong
group_3750,1,0,11,7,1,Enriched in Strong
group_3749,1,0,11,7,1,Enriched in Strong
kgtP_2,1,0,11,7,1,Enriched in Strong
group_3748,1,0,11,7,1,Enriched in Strong
catJ,1,0,11,7,1,Enriched in Strong
dapE,1,0,11,7,1,Enriched in Strong
argT_3,1,0,11,7,1,Enriched in Strong
group_3747,1,0,11,7,1,Enriched in Strong
tsf,1,0,11,7,1,Enriched in Strong
ispD,1,0,11,7,1,Enriched in Strong
rapA,1,0,11,7,1,Enriched in Strong
map_1,1,0,11,7,1,Enriched in Strong
hisM_2,1,0,11,7,1,Enriched in Strong
dcd,1,0,11,7,1,Enriched in Strong
group_3740,1,0,11,7,1,Enriched in Strong
group_3739,1,0,11,7,1,Enriched in Strong
acrF,1,0,11,7,1,Enriched in Strong
dapD,1,0,11,7,1,Enriched in Strong
pitA_2,1,0,11,7,1,Enriched in Strong
nhaK_2~~~nhaK,1,0,11,7,1,Enriched in Strong
gcvA_7,1,0,11,7,1,Enriched in Strong
yfcG_4,1,0,11,7,1,Enriched in Strong
group_3734,1,0,11,7,1,Enriched in Strong
capB_1,1,0,11,7,1,Enriched in Strong
cspA_3,1,0,11,7,1,Enriched in Strong
tilS,1,0,11,7,1,Enriched in Strong
group_3733,1,0,11,7,1,Enriched in Strong
accA_2,1,0,11,7,1,Enriched in Strong
group_3732,1,0,11,7,1,Enriched in Strong
group_3730,1,0,11,7,1,Enriched in Strong
fabZ,1,0,11,7,1,Enriched in Strong
pdxH,1,0,11,7,1,Enriched in Strong
catD_3,1,0,11,7,1,Enriched in Strong
nhaA,1,0,11,7,1,Enriched in Strong
group_3728,1,0,11,7,1,Enriched in Strong
group_3727,1,0,11,7,1,Enriched in Strong
group_3726,1,0,11,7,1,Enriched in Strong
nicP_4,1,0,11,7,1,Enriched in Strong
group_3725,1,0,11,7,1,Enriched in Strong
sufS_2,1,0,11,7,1,Enriched in Strong
group_3724,1,0,11,7,1,Enriched in Strong
dnaE,1,0,11,7,1,Enriched in Strong
group_3723,1,0,11,7,1,Enriched in Strong
lpxD_2,1,0,11,7,1,Enriched in Strong
truD,1,0,11,7,1,Enriched in Strong
dxr,1,0,11,7,1,Enriched in Strong
hisQ_3,1,0,11,7,1,Enriched in Strong
sotB_4,1,0,11,7,1,Enriched in Strong
group_3719,1,0,11,7,1,Enriched in Strong
dapL_2,1,0,11,7,1,Enriched in Strong
group_3717,1,0,11,7,1,Enriched in Strong
rseP,1,0,11,7,1,Enriched in Strong
pcaF,1,0,11,7,1,Enriched in Strong
rpsB,1,0,11,7,1,Enriched in Strong
sufS_1,1,0,11,7,1,Enriched in Strong
cdsA,1,0,11,7,1,Enriched in Strong
rlmA,1,0,11,7,1,Enriched in Strong
ftsB,1,0,11,7,1,Enriched in Strong
pcaB,1,0,11,7,1,Enriched in Strong
csdE,1,0,11,7,1,Enriched in Strong
group_3710,1,0,11,7,1,Enriched in Strong
pyrH,1,0,11,7,1,Enriched in Strong
group_3709,1,0,11,7,1,Enriched in Strong
dinG_3,1,0,11,7,1,Enriched in Strong
dmlR_23,1,0,11,7,1,Enriched in Strong
tcdA,1,0,11,7,1,Enriched in Strong
pcaG,1,0,11,7,1,Enriched in Strong
group_3705,1,0,11,7,1,Enriched in Strong
group_3704,1,0,11,7,1,Enriched in Strong
group_3703,1,0,11,7,1,Enriched in Strong
group_3702,1,0,11,7,1,Enriched in Strong
group_3701,1,0,11,7,1,Enriched in Strong
group_3700,1,0,11,7,1,Enriched in Strong
group_3698,1,0,11,7,1,Enriched in Strong
group_3697,1,0,11,7,1,Enriched in Strong
ves,1,0,11,7,1,Enriched in Strong
group_3695,1,0,11,7,1,Enriched in Strong
fabF_1,1,0,11,7,1,Enriched in Strong
cdiA1~~~cdiA,1,0,11,7,1,Enriched in Strong
opuAA,1,0,11,7,1,Enriched in Strong
group_3694,1,0,11,7,1,Enriched in Strong
group_3693,1,0,11,7,1,Enriched in Strong
group_3692,1,0,11,7,1,Enriched in Strong
ttr,1,0,11,7,1,Enriched in Strong
group_3691,1,0,11,7,1,Enriched in Strong
group_3689,1,0,11,7,1,Enriched in Strong
nadE_1,1,0,11,7,1,Enriched in Strong
yfcD,1,0,11,7,1,Enriched in Strong
group_3688,1,0,11,7,1,Enriched in Strong
group_3687,1,0,11,7,1,Enriched in Strong
group_3686,1,0,11,7,1,Enriched in Strong
group_3685,1,0,11,7,1,Enriched in Strong
soxC_2,1,0,11,7,1,Enriched in Strong
orn,1,0,11,7,1,Enriched in Strong
group_3684,1,0,11,7,1,Enriched in Strong
group_3683,1,0,11,7,1,Enriched in Strong
group_3682,1,0,11,7,1,Enriched in Strong
tauD_1,1,0,11,7,1,Enriched in Strong
ssuC_2,1,0,11,7,1,Enriched in Strong
rlmJ,1,0,11,7,1,Enriched in Strong
fdhD,1,0,11,7,1,Enriched in Strong
rmlC_2,1,0,11,7,1,Enriched in Strong
ureD,1,0,11,7,1,Enriched in Strong
group_3681,1,0,11,7,1,Enriched in Strong
higB,1,0,11,7,1,Enriched in Strong
group_3680,1,0,11,7,1,Enriched in Strong
catD_2,1,0,11,7,1,Enriched in Strong
amiC_2,1,0,11,7,1,Enriched in Strong
psiF,1,0,11,7,1,Enriched in Strong
group_3677,1,0,11,7,1,Enriched in Strong
dnaK_1,1,0,11,7,1,Enriched in Strong
group_3676,1,0,11,7,1,Enriched in Strong
maeB,1,0,11,7,1,Enriched in Strong
group_3674,1,0,11,7,1,Enriched in Strong
group_3673,1,0,11,7,1,Enriched in Strong
ynfM_2,1,0,11,7,1,Enriched in Strong
davT_3,1,0,11,7,1,Enriched in Strong
yofA_3,1,0,11,7,1,Enriched in Strong
fadI_1,1,0,11,7,1,Enriched in Strong
group_3672,1,0,11,7,1,Enriched in Strong
motA,1,0,11,7,1,Enriched in Strong
waaA,1,0,11,7,1,Enriched in Strong
oah1,1,0,11,7,1,Enriched in Strong
opuAB_2,1,0,11,7,1,Enriched in Strong
ureA,1,0,11,7,1,Enriched in Strong
nrtD,1,0,11,7,1,Enriched in Strong
dinF,1,0,11,7,1,Enriched in Strong
group_3671,1,0,11,7,1,Enriched in Strong
group_3670,1,0,11,7,1,Enriched in Strong
puuB_2,1,0,11,7,1,Enriched in Strong
oprD_6,1,0,11,7,1,Enriched in Strong
glnH,1,0,11,7,1,Enriched in Strong
ureB,1,0,11,7,1,Enriched in Strong
purA,1,0,11,7,1,Enriched in Strong
group_3668,1,0,11,7,1,Enriched in Strong
purD,1,0,11,7,1,Enriched in Strong
lptB_1,1,0,11,7,1,Enriched in Strong
nnr,1,0,11,7,1,Enriched in Strong
psd,1,0,11,7,1,Enriched in Strong
group_3667,1,0,11,7,1,Enriched in Strong
envC,1,0,11,7,1,Enriched in Strong
group_3665,1,0,11,7,1,Enriched in Strong
group_3663,1,0,11,7,1,Enriched in Strong
group_3662,1,0,11,7,1,Enriched in Strong
group_3661,1,0,11,7,1,Enriched in Strong
hflX,1,0,11,7,1,Enriched in Strong
hflC,1,0,11,7,1,Enriched in Strong
nudE,1,0,11,7,1,Enriched in Strong
blc,1,0,11,7,1,Enriched in Strong
group_3660,1,0,11,7,1,Enriched in Strong
rpoE_2,1,0,11,7,1,Enriched in Strong
cysW_3,1,0,11,7,1,Enriched in Strong
envZ,1,0,11,7,1,Enriched in Strong
group_3659,1,0,11,7,1,Enriched in Strong
group_3657,1,0,11,7,1,Enriched in Strong
tatB,1,0,11,7,1,Enriched in Strong
group_3655,1,0,11,7,1,Enriched in Strong
glnQ_3,1,0,11,7,1,Enriched in Strong
prmA,1,0,11,7,1,Enriched in Strong
fis,1,0,11,7,1,Enriched in Strong
group_3652,1,0,11,7,1,Enriched in Strong
yigZ,1,0,11,7,1,Enriched in Strong
group_3650,1,0,11,7,1,Enriched in Strong
group_3649,1,0,11,7,1,Enriched in Strong
group_3648,1,0,11,7,1,Enriched in Strong
hslU,1,0,11,7,1,Enriched in Strong
group_3646,1,0,11,7,1,Enriched in Strong
pgaC,1,0,11,7,1,Enriched in Strong
group_3645,1,0,11,7,1,Enriched in Strong
hdfR_11,1,0,11,7,1,Enriched in Strong
group_3644,1,0,11,7,1,Enriched in Strong
group_3642,1,0,11,7,1,Enriched in Strong
group_3641,1,0,11,7,1,Enriched in Strong
nicP_5,1,0,11,7,1,Enriched in Strong
group_3640,1,0,11,7,1,Enriched in Strong
lips,1,0,11,7,1,Enriched in Strong
hisB,1,0,11,7,1,Enriched in Strong
hdfR_4,1,0,11,7,1,Enriched in Strong
group_3639,1,0,11,7,1,Enriched in Strong
group_3638,1,0,11,7,1,Enriched in Strong
hisE,1,0,11,7,1,Enriched in Strong
dmoA_2,1,0,11,7,1,Enriched in Strong
tauD_2,1,0,11,7,1,Enriched in Strong
group_3637,1,0,11,7,1,Enriched in Strong
bepC,1,0,11,7,1,Enriched in Strong
group_3636,1,0,11,7,1,Enriched in Strong
group_3635,1,0,11,7,1,Enriched in Strong
benM_3,1,0,11,7,1,Enriched in Strong
group_3634,1,0,11,7,1,Enriched in Strong
group_3633,1,0,11,7,1,Enriched in Strong
group_3632,1,0,11,7,1,Enriched in Strong
group_3631,1,0,11,7,1,Enriched in Strong
accC,1,0,11,7,1,Enriched in Strong
group_3630,1,0,11,7,1,Enriched in Strong
group_3629,1,0,11,7,1,Enriched in Strong
group_3628,1,0,11,7,1,Enriched in Strong
group_3627,1,0,11,7,1,Enriched in Strong
prsE_2,1,0,11,7,1,Enriched in Strong
group_3626,1,0,11,7,1,Enriched in Strong
group_3625,1,0,11,7,1,Enriched in Strong
hslV,1,0,11,7,1,Enriched in Strong
aprA_2,1,0,11,7,1,Enriched in Strong
group_3624,1,0,11,7,1,Enriched in Strong
naiP,1,0,11,7,1,Enriched in Strong
group_3623,1,0,11,7,1,Enriched in Strong
group_3622,1,0,11,7,1,Enriched in Strong
group_3621,1,0,11,7,1,Enriched in Strong
group_3620,1,0,11,7,1,Enriched in Strong
hslO,1,0,11,7,1,Enriched in Strong
group_3619,1,0,11,7,1,Enriched in Strong
group_3618,1,0,11,7,1,Enriched in Strong
dctD_4,1,0,11,7,1,Enriched in Strong
group_3617,1,0,11,7,1,Enriched in Strong
pilQ,1,0,11,7,1,Enriched in Strong
gabP_2,1,0,11,7,1,Enriched in Strong
rimK,1,0,11,7,1,Enriched in Strong
group_3615,1,0,11,7,1,Enriched in Strong
group_3614,1,0,11,7,1,Enriched in Strong
xanP_1,1,0,11,7,1,Enriched in Strong
zitB,1,0,11,7,1,Enriched in Strong
dnaB_1,1,0,11,7,1,Enriched in Strong
ureG,1,0,11,7,1,Enriched in Strong
group_3613,1,0,11,7,1,Enriched in Strong
group_3612,1,0,11,7,1,Enriched in Strong
aaeA_2,1,0,11,7,1,Enriched in Strong
group_3611,1,0,11,7,1,Enriched in Strong
group_3610,1,0,11,7,1,Enriched in Strong
nudF,1,0,11,7,1,Enriched in Strong
glnA,1,0,11,7,1,Enriched in Strong
proY_1,1,0,11,7,1,Enriched in Strong
group_3609,1,0,11,7,1,Enriched in Strong
group_3608,1,0,11,7,1,Enriched in Strong
livH_1,1,0,11,7,1,Enriched in Strong
group_3607,1,0,11,7,1,Enriched in Strong
gltD,1,0,11,7,1,Enriched in Strong
ubiJ,1,0,11,7,1,Enriched in Strong
amiC_1,1,0,11,7,1,Enriched in Strong
group_3606,1,0,11,7,1,Enriched in Strong
group_3605,1,0,11,7,1,Enriched in Strong
group_3604,1,0,11,7,1,Enriched in Strong
cobH,1,0,11,7,1,Enriched in Strong
hldE,1,0,11,7,1,Enriched in Strong
sfnR_2,1,0,11,7,1,Enriched in Strong
group_3603,1,0,11,7,1,Enriched in Strong
glnG,1,0,11,7,1,Enriched in Strong
group_3602,1,0,11,7,1,Enriched in Strong
tolC_1,1,0,11,7,1,Enriched in Strong
dmlR_8,1,0,11,7,1,Enriched in Strong
davD_2,1,0,11,7,1,Enriched in Strong
group_3601,1,0,11,7,1,Enriched in Strong
group_3600,1,0,11,7,1,Enriched in Strong
group_3599,1,0,11,7,1,Enriched in Strong
fabR,1,0,11,7,1,Enriched in Strong
oprM_6,1,0,11,7,1,Enriched in Strong
ttgC_5,1,0,11,7,1,Enriched in Strong
kdkA,1,0,11,7,1,Enriched in Strong
czcR_6,1,0,11,7,1,Enriched in Strong
thiI,1,0,11,7,1,Enriched in Strong
group_3598,1,0,11,7,1,Enriched in Strong
group_3597,1,0,11,7,1,Enriched in Strong
group_3596,1,0,11,7,1,Enriched in Strong
selO,1,0,11,7,1,Enriched in Strong
hisH,1,0,11,7,1,Enriched in Strong
group_3595,1,0,11,7,1,Enriched in Strong
cbpA,1,0,11,7,1,Enriched in Strong
group_3592,1,0,11,7,1,Enriched in Strong
yciH,1,0,11,7,1,Enriched in Strong
group_3590,1,0,11,7,1,Enriched in Strong
metP_1,1,0,11,7,1,Enriched in Strong
putP_1,1,0,11,7,1,Enriched in Strong
gabD,1,0,11,7,1,Enriched in Strong
btuF_1,1,0,11,7,1,Enriched in Strong
group_3589,1,0,11,7,1,Enriched in Strong
bauC_1,1,0,11,7,1,Enriched in Strong
ydgA,1,0,11,7,1,Enriched in Strong
msrA_2,1,0,11,7,1,Enriched in Strong
group_3588,1,0,11,7,1,Enriched in Strong
group_3587,1,0,11,7,1,Enriched in Strong
group_3586,1,0,11,7,1,Enriched in Strong
group_3585,1,0,11,7,1,Enriched in Strong
group_3584,1,0,11,7,1,Enriched in Strong
group_3583,1,0,11,7,1,Enriched in Strong
menI,1,0,11,7,1,Enriched in Strong
group_3580,1,0,11,7,1,Enriched in Strong
hutH_1,1,0,11,7,1,Enriched in Strong
gpmI,1,0,11,7,1,Enriched in Strong
group_3579,1,0,11,7,1,Enriched in Strong
hutH_2,1,0,11,7,1,Enriched in Strong
glnP_4,1,0,11,7,1,Enriched in Strong
emrY,1,0,11,7,1,Enriched in Strong
group_3577,1,0,11,7,1,Enriched in Strong
group_3576,1,0,11,7,1,Enriched in Strong
group_3575,1,0,11,7,1,Enriched in Strong
rutR_2,1,0,11,7,1,Enriched in Strong
group_3574,1,0,11,7,1,Enriched in Strong
group_3573,1,0,11,7,1,Enriched in Strong
pckA,1,0,11,7,1,Enriched in Strong
hutH_3,1,0,11,7,1,Enriched in Strong
yrfG,1,0,11,7,1,Enriched in Strong
group_3572,1,0,11,7,1,Enriched in Strong
glnP_3,1,0,11,7,1,Enriched in Strong
yecS_3,1,0,11,7,1,Enriched in Strong
damX,1,0,11,7,1,Enriched in Strong
hisI_1,1,0,11,7,1,Enriched in Strong
miaA,1,0,11,7,1,Enriched in Strong
group_3569,1,0,11,7,1,Enriched in Strong
pip_2,1,0,11,7,1,Enriched in Strong
gshA,1,0,11,7,1,Enriched in Strong
group_3567,1,0,11,7,1,Enriched in Strong
tauA_2,1,0,11,7,1,Enriched in Strong
ubiB,1,0,11,7,1,Enriched in Strong
group_3566,1,0,11,7,1,Enriched in Strong
purH,1,0,11,7,1,Enriched in Strong
group_3565,1,0,11,7,1,Enriched in Strong
group_3564,1,0,11,7,1,Enriched in Strong
exbD_4,1,0,11,7,1,Enriched in Strong
ureF,1,0,11,7,1,Enriched in Strong
hmrR,1,0,11,7,1,Enriched in Strong
cysA_3,1,0,11,7,1,Enriched in Strong
higA,1,0,11,7,1,Enriched in Strong
group_3563,1,0,11,7,1,Enriched in Strong
group_3562,1,0,11,7,1,Enriched in Strong
group_3560,1,0,11,7,1,Enriched in Strong
group_3559,1,0,11,7,1,Enriched in Strong
hslR,1,0,11,7,1,Enriched in Strong
atoC_3,1,0,11,7,1,Enriched in Strong
cysG_1,1,0,11,7,1,Enriched in Strong
aceF,1,0,11,7,1,Enriched in Strong
group_3558,1,0,11,7,1,Enriched in Strong
dcyD_2,1,0,11,7,1,Enriched in Strong
group_3557,1,0,11,7,1,Enriched in Strong
group_3555,1,0,11,7,1,Enriched in Strong
group_3554,1,0,11,7,1,Enriched in Strong
yibN,1,0,11,7,1,Enriched in Strong
rssB_3,1,0,11,7,1,Enriched in Strong
dltA,1,0,11,7,1,Enriched in Strong
hutU,1,0,11,7,1,Enriched in Strong
group_3552,1,0,11,7,1,Enriched in Strong
group_3551,1,0,11,7,1,Enriched in Strong
group_3550,1,0,11,7,1,Enriched in Strong
group_3549,1,0,11,7,1,Enriched in Strong
phaC_2,1,0,11,7,1,Enriched in Strong
hxuB_1,1,0,11,7,1,Enriched in Strong
phaC_1,1,0,11,7,1,Enriched in Strong
virS,1,0,11,7,1,Enriched in Strong
group_3548,1,0,11,7,1,Enriched in Strong
ureC,1,0,11,7,1,Enriched in Strong
group_3547,1,0,11,7,1,Enriched in Strong
shlB_2,1,0,11,7,1,Enriched in Strong
sbp_2,1,0,11,7,1,Enriched in Strong
livF_2,1,0,11,7,1,Enriched in Strong
argS,1,0,11,7,1,Enriched in Strong
hmuU_1,1,0,11,7,1,Enriched in Strong
nhaP2,1,0,11,7,1,Enriched in Strong
fbp_1,1,0,11,7,1,Enriched in Strong
rpsF,1,0,11,7,1,Enriched in Strong
group_3544,1,0,11,7,1,Enriched in Strong
tobZ,1,0,11,7,1,Enriched in Strong
group_3543,1,0,11,7,1,Enriched in Strong
dusB,1,0,11,7,1,Enriched in Strong
group_3542,1,0,11,7,1,Enriched in Strong
group_3541,1,0,11,7,1,Enriched in Strong
group_3540,1,0,11,7,1,Enriched in Strong
ftsN,1,0,11,7,1,Enriched in Strong
mdoG,1,0,11,7,1,Enriched in Strong
dmdC_4,1,0,11,7,1,Enriched in Strong
dctB_3,1,0,11,7,1,Enriched in Strong
typA,1,0,11,7,1,Enriched in Strong
group_3538,1,0,11,7,1,Enriched in Strong
group_3537,1,0,11,7,1,Enriched in Strong
group_3535,1,0,11,7,1,Enriched in Strong
fbpA_1,1,0,11,7,1,Enriched in Strong
group_3534,1,0,11,7,1,Enriched in Strong
group_3533,1,0,11,7,1,Enriched in Strong
group_3532,1,0,11,7,1,Enriched in Strong
motB_2,1,0,11,7,1,Enriched in Strong
thiC,1,0,11,7,1,Enriched in Strong
rsgA,1,0,11,7,1,Enriched in Strong
group_3530,1,0,11,7,1,Enriched in Strong
rfaF,1,0,11,7,1,Enriched in Strong
