Gene,p_value,odds_ratio,n_strong_present,n_weak_present,p_adj,Direction
pqqD,1,0,11,7,1,Enriched in Strong
hupB_1,1,0,11,7,1,Enriched in Strong
rpsT,1,0,11,7,1,Enriched in Strong
group_2409,1,0,11,7,1,Enriched in Strong
group_2408,1,0,11,7,1,Enriched in Strong
group_2406,1,0,11,7,1,Enriched in Strong
group_2405,1,0,11,7,1,Enriched in Strong
group_2404,1,0,11,7,1,Enriched in Strong
mrpX,1,0,11,7,1,Enriched in Strong
group_2399,1,0,11,7,1,Enriched in Strong
hupB_2,1,0,11,7,1,Enriched in Strong
group_2398,1,0,11,7,1,Enriched in Strong
group_2397,1,0,11,7,1,Enriched in Strong
group_2393,1,0,11,7,1,Enriched in Strong
group_2390,1,0,11,7,1,Enriched in Strong
group_2389,1,0,11,7,1,Enriched in Strong
group_2388,1,0,11,7,1,Enriched in Strong
ppnP,1,0,11,7,1,Enriched in Strong
group_2387,1,0,11,7,1,Enriched in Strong
group_2379,1,0,11,7,1,Enriched in Strong
group_2378,1,0,11,7,1,Enriched in Strong
gatC,1,0,11,7,1,Enriched in Strong
group_2377,1,0,11,7,1,Enriched in Strong
group_2368,1,0,11,7,1,Enriched in Strong
group_2367,1,0,11,7,1,Enriched in Strong
group_2366,1,0,11,7,1,Enriched in Strong
catC,1,0,11,7,1,Enriched in Strong
group_2365,1,0,11,7,1,Enriched in Strong
bolA,1,0,11,7,1,Enriched in Strong
ftsL,1,0,11,7,1,Enriched in Strong
ycgL,1,0,11,7,1,Enriched in Strong
group_2349,1,0,11,7,1,Enriched in Strong
groS,1,0,11,7,1,Enriched in Strong
ihfB,1,0,11,7,1,Enriched in Strong
group_2348,1,0,11,7,1,Enriched in Strong
group_2347,1,0,11,7,1,Enriched in Strong
group_2346,1,0,11,7,1,Enriched in Strong
inh,1,0,11,7,1,Enriched in Strong
rplW,1,0,11,7,1,Enriched in Strong
yciI_1,1,0,11,7,1,Enriched in Strong
group_2340,1,0,11,7,1,Enriched in Strong
ihfA,1,0,11,7,1,Enriched in Strong
group_2334,1,0,11,7,1,Enriched in Strong
group_2332,1,0,11,7,1,Enriched in Strong
group_2331,1,0,11,7,1,Enriched in Strong
group_2330,1,0,11,7,1,Enriched in Strong
soxD,1,0,11,7,1,Enriched in Strong
group_2324,1,0,11,7,1,Enriched in Strong
group_2323,1,0,11,7,1,Enriched in Strong
group_2322,1,0,11,7,1,Enriched in Strong
pchB,1,0,11,7,1,Enriched in Strong
rpsN,1,0,11,7,1,Enriched in Strong
group_2320,1,0,11,7,1,Enriched in Strong
group_2319,1,0,11,7,1,Enriched in Strong
group_2318,1,0,11,7,1,Enriched in Strong
group_2309,1,0,11,7,1,Enriched in Strong
group_2308,1,0,11,7,1,Enriched in Strong
group_2307,1,0,11,7,1,Enriched in Strong
nuoK,1,0,11,7,1,Enriched in Strong
group_2306,1,0,11,7,1,Enriched in Strong
group_2305,1,0,11,7,1,Enriched in Strong
yhbY,1,0,11,7,1,Enriched in Strong
group_2304,1,0,11,7,1,Enriched in Strong
group_2303,1,0,11,7,1,Enriched in Strong
group_2295,1,0,11,7,1,Enriched in Strong
group_2294,1,0,11,7,1,Enriched in Strong
group_2293,1,0,11,7,1,Enriched in Strong
mqsR,1,0,11,7,1,Enriched in Strong
rpsJ,1,0,11,7,1,Enriched in Strong
group_2292,1,0,11,7,1,Enriched in Strong
yjcH,1,0,11,7,1,Enriched in Strong
group_2288,1,0,11,7,1,Enriched in Strong
gdx,1,0,11,7,1,Enriched in Strong
group_2287,1,0,11,7,1,Enriched in Strong
rplX,1,0,11,7,1,Enriched in Strong
rplU,1,0,11,7,1,Enriched in Strong
yqjD_1,1,0,11,7,1,Enriched in Strong
group_2286,1,0,11,7,1,Enriched in Strong
group_2285,1,0,11,7,1,Enriched in Strong
group_2279,1,0,11,7,1,Enriched in Strong
group_2278,1,0,11,7,1,Enriched in Strong
group_2277,1,0,11,7,1,Enriched in Strong
group_2276,1,0,11,7,1,Enriched in Strong
zapA,1,0,11,7,1,Enriched in Strong
group_2271,1,0,11,7,1,Enriched in Strong
group_2270,1,0,11,7,1,Enriched in Strong
yqjZ,1,0,11,7,1,Enriched in Strong
group_2268,1,0,11,7,1,Enriched in Strong
group_2266,1,0,11,7,1,Enriched in Strong
group_2259,1,0,11,7,1,Enriched in Strong
group_2258,1,0,11,7,1,Enriched in Strong
group_2257,1,0,11,7,1,Enriched in Strong
fdxA,1,0,11,7,1,Enriched in Strong
iscA,1,0,11,7,1,Enriched in Strong
group_2256,1,0,11,7,1,Enriched in Strong
group_2255,1,0,11,7,1,Enriched in Strong
group_2251,1,0,11,7,1,Enriched in Strong
group_2250,1,0,11,7,1,Enriched in Strong
group_2249,1,0,11,7,1,Enriched in Strong
group_2248,1,0,11,7,1,Enriched in Strong
group_2247,1,0,11,7,1,Enriched in Strong
group_2246,1,0,11,7,1,Enriched in Strong
sutA,1,0,11,7,1,Enriched in Strong
group_2240,1,0,11,7,1,Enriched in Strong
group_2239,1,0,11,7,1,Enriched in Strong
group_2238,1,0,11,7,1,Enriched in Strong
group_2237,1,0,11,7,1,Enriched in Strong
yqcC,1,0,11,7,1,Enriched in Strong
group_2235,1,0,11,7,1,Enriched in Strong
flhB_2,1,0,11,7,1,Enriched in Strong
group_2234,1,0,11,7,1,Enriched in Strong
fliE,1,0,11,7,1,Enriched in Strong
glpE_1,1,0,11,7,1,Enriched in Strong
trxA,1,0,11,7,1,Enriched in Strong
group_2223,1,0,11,7,1,Enriched in Strong
rplV,1,0,11,7,1,Enriched in Strong
group_2222,1,0,11,7,1,Enriched in Strong
group_2221,1,0,11,7,1,Enriched in Strong
group_2220,1,0,11,7,1,Enriched in Strong
cyaY,1,0,11,7,1,Enriched in Strong
group_2210,1,0,11,7,1,Enriched in Strong
group_2209,1,0,11,7,1,Enriched in Strong
tusE,1,0,11,7,1,Enriched in Strong
group_2208,1,0,11,7,1,Enriched in Strong
bigR,1,0,11,7,1,Enriched in Strong
group_2207,1,0,11,7,1,Enriched in Strong
group_2206,1,0,11,7,1,Enriched in Strong
group_2205,1,0,11,7,1,Enriched in Strong
group_2198,1,0,11,7,1,Enriched in Strong
group_2197,1,0,11,7,1,Enriched in Strong
ydgC,1,0,11,7,1,Enriched in Strong
grxD,1,0,11,7,1,Enriched in Strong
yajC,1,0,11,7,1,Enriched in Strong
ybaB,1,0,11,7,1,Enriched in Strong
group_2196,1,0,11,7,1,Enriched in Strong
glnK,1,0,11,7,1,Enriched in Strong
group_2192,1,0,11,7,1,Enriched in Strong
group_2189,1,0,11,7,1,Enriched in Strong
cyoD,1,0,11,7,1,Enriched in Strong
fdx_2,1,0,11,7,1,Enriched in Strong
group_2188,1,0,11,7,1,Enriched in Strong
group_2187,1,0,11,7,1,Enriched in Strong
group_2186,1,0,11,7,1,Enriched in Strong
group_2185,1,0,11,7,1,Enriched in Strong
group_2179,1,0,11,7,1,Enriched in Strong
group_2178,1,0,11,7,1,Enriched in Strong
group_2177,1,0,11,7,1,Enriched in Strong
mnhC1,1,0,11,7,1,Enriched in Strong
group_2176,1,0,11,7,1,Enriched in Strong
group_2175,1,0,11,7,1,Enriched in Strong
group_2174,1,0,11,7,1,Enriched in Strong
group_2173,1,0,11,7,1,Enriched in Strong
group_2172,1,0,11,7,1,Enriched in Strong
group_2171,1,0,11,7,1,Enriched in Strong
group_2168,1,0,11,7,1,Enriched in Strong
group_2167,1,0,11,7,1,Enriched in Strong
group_2166,1,0,11,7,1,Enriched in Strong
arnE_3,1,0,11,7,1,Enriched in Strong
group_2165,1,0,11,7,1,Enriched in Strong
group_2163,1,0,11,7,1,Enriched in Strong
group_2162,1,0,11,7,1,Enriched in Strong
tusC,1,0,11,7,1,Enriched in Strong
group_2155,1,0,11,7,1,Enriched in Strong
rplR,1,0,11,7,1,Enriched in Strong
rplS,1,0,11,7,1,Enriched in Strong
group_2154,1,0,11,7,1,Enriched in Strong
group_2153,1,0,11,7,1,Enriched in Strong
rutC_2,1,0,11,7,1,Enriched in Strong
group_2150,1,0,11,7,1,Enriched in Strong
group_2148,1,0,11,7,1,Enriched in Strong
group_2147,1,0,11,7,1,Enriched in Strong
cidA_2,1,0,11,7,1,Enriched in Strong
pucM,1,0,11,7,1,Enriched in Strong
group_2146,1,0,11,7,1,Enriched in Strong
folB,1,0,11,7,1,Enriched in Strong
group_2145,1,0,11,7,1,Enriched in Strong
rutC_1,1,0,11,7,1,Enriched in Strong
group_2139,1,0,11,7,1,Enriched in Strong
rplT,1,0,11,7,1,Enriched in Strong
group_2138,1,0,11,7,1,Enriched in Strong
group_2137,1,0,11,7,1,Enriched in Strong
queD,1,0,11,7,1,Enriched in Strong
group_2136,1,0,11,7,1,Enriched in Strong
rpsM,1,0,11,7,1,Enriched in Strong
group_2135,1,0,11,7,1,Enriched in Strong
group_2134,1,0,11,7,1,Enriched in Strong
arnE_2,1,0,11,7,1,Enriched in Strong
group_2133,1,0,11,7,1,Enriched in Strong
group_2127,1,0,11,7,1,Enriched in Strong
group_2120,1,0,11,7,1,Enriched in Strong
group_2119,1,0,11,7,1,Enriched in Strong
group_2118,1,0,11,7,1,Enriched in Strong
group_2117,1,0,11,7,1,Enriched in Strong
walR_2,1,0,11,7,1,Enriched in Strong
group_2116,1,0,11,7,1,Enriched in Strong
dgkA,1,0,11,7,1,Enriched in Strong
group_2115,1,0,11,7,1,Enriched in Strong
group_2114,1,0,11,7,1,Enriched in Strong
group_2113,1,0,11,7,1,Enriched in Strong
group_2112,1,0,11,7,1,Enriched in Strong
group_2101,1,0,11,7,1,Enriched in Strong
group_2100,1,0,11,7,1,Enriched in Strong
group_2099,1,0,11,7,1,Enriched in Strong
pcoC,1,0,11,7,1,Enriched in Strong
group_2098,1,0,11,7,1,Enriched in Strong
rplL,1,0,11,7,1,Enriched in Strong
pleD,1,0,11,7,1,Enriched in Strong
group_2093,1,0,11,7,1,Enriched in Strong
rplN,1,0,11,7,1,Enriched in Strong
secE,1,0,11,7,1,Enriched in Strong
sdhD,1,0,11,7,1,Enriched in Strong
group_2092,1,0,11,7,1,Enriched in Strong
group_2091,1,0,11,7,1,Enriched in Strong
group_2082,1,0,11,7,1,Enriched in Strong
group_2081,1,0,11,7,1,Enriched in Strong
group_2080,1,0,11,7,1,Enriched in Strong
rlpA_2,1,0,11,7,1,Enriched in Strong
rpsL,1,0,11,7,1,Enriched in Strong
folX,1,0,11,7,1,Enriched in Strong
group_2079,1,0,11,7,1,Enriched in Strong
group_2078,1,0,11,7,1,Enriched in Strong
ehpR,1,0,11,7,1,Enriched in Strong
group_2077,1,0,11,7,1,Enriched in Strong
group_2076,1,0,11,7,1,Enriched in Strong
crcB_2,1,0,11,7,1,Enriched in Strong
group_2074,1,0,11,7,1,Enriched in Strong
group_2073,1,0,11,7,1,Enriched in Strong
group_2072,1,0,11,7,1,Enriched in Strong
sdhC,1,0,11,7,1,Enriched in Strong
group_2071,1,0,11,7,1,Enriched in Strong
group_2070,1,0,11,7,1,Enriched in Strong
group_2069,1,0,11,7,1,Enriched in Strong
cheY,1,0,11,7,1,Enriched in Strong
group_2065,1,0,11,7,1,Enriched in Strong
cpdR,1,0,11,7,1,Enriched in Strong
merR1_2,1,0,11,7,1,Enriched in Strong
group_2063,1,0,11,7,1,Enriched in Strong
group_2062,1,0,11,7,1,Enriched in Strong
group_2056,1,0,11,7,1,Enriched in Strong
yabJ_5,1,0,11,7,1,Enriched in Strong
yabJ_2,1,0,11,7,1,Enriched in Strong
rssB_2,1,0,11,7,1,Enriched in Strong
apaG,1,0,11,7,1,Enriched in Strong
yabJ_1,1,0,11,7,1,Enriched in Strong
group_2054,1,0,11,7,1,Enriched in Strong
group_2044,1,0,11,7,1,Enriched in Strong
group_2043,1,0,11,7,1,Enriched in Strong
divK,1,0,11,7,1,Enriched in Strong
group_2042,1,0,11,7,1,Enriched in Strong
group_2041,1,0,11,7,1,Enriched in Strong
gcvH_2,1,0,11,7,1,Enriched in Strong
ybaN,1,0,11,7,1,Enriched in Strong
gcvH_1,1,0,11,7,1,Enriched in Strong
group_2036,1,0,11,7,1,Enriched in Strong
group_2035,1,0,11,7,1,Enriched in Strong
rplQ,1,0,11,7,1,Enriched in Strong
cidA_1,1,0,11,7,1,Enriched in Strong
iscU,1,0,11,7,1,Enriched in Strong
group_2033,1,0,11,7,1,Enriched in Strong
group_2032,1,0,11,7,1,Enriched in Strong
group_2031,1,0,11,7,1,Enriched in Strong
group_2028,1,0,11,7,1,Enriched in Strong
yabJ_4,1,0,11,7,1,Enriched in Strong
group_2027,1,0,11,7,1,Enriched in Strong
rpsK,1,0,11,7,1,Enriched in Strong
fliS,1,0,11,7,1,Enriched in Strong
group_2026,1,0,11,7,1,Enriched in Strong
fecI_1,1,0,11,7,1,Enriched in Strong
cbiG,1,0,11,7,1,Enriched in Strong
yabJ_3,1,0,11,7,1,Enriched in Strong
cueR_1,1,0,11,7,1,Enriched in Strong
dsrE,1,0,11,7,1,Enriched in Strong
rpsI,1,0,11,7,1,Enriched in Strong
group_2023,1,0,11,7,1,Enriched in Strong
hpcD,1,0,11,7,1,Enriched in Strong
rpsH,1,0,11,7,1,Enriched in Strong
group_2022,1,0,11,7,1,Enriched in Strong
msrB_1,1,0,11,7,1,Enriched in Strong
group_2021,1,0,11,7,1,Enriched in Strong
group_2020,1,0,11,7,1,Enriched in Strong
group_2015,1,0,11,7,1,Enriched in Strong
group_2014,1,0,11,7,1,Enriched in Strong
group_2013,1,0,11,7,1,Enriched in Strong
rbfA,1,0,11,7,1,Enriched in Strong
group_2012,1,0,11,7,1,Enriched in Strong
group_2011,1,0,11,7,1,Enriched in Strong
group_2010,1,0,11,7,1,Enriched in Strong
group_2009,1,0,11,7,1,Enriched in Strong
group_2008,1,0,11,7,1,Enriched in Strong
yqjC,1,0,11,7,1,Enriched in Strong
group_2004,1,0,11,7,1,Enriched in Strong
group_2003,1,0,11,7,1,Enriched in Strong
erpA,1,0,11,7,1,Enriched in Strong
group_1999,1,0,11,7,1,Enriched in Strong
group_1998,1,0,11,7,1,Enriched in Strong
group_1997,1,0,11,7,1,Enriched in Strong
group_1996,1,0,11,7,1,Enriched in Strong
group_1995,1,0,11,7,1,Enriched in Strong
group_1994,1,0,11,7,1,Enriched in Strong
cueR_2,1,0,11,7,1,Enriched in Strong
dksA_3,1,0,11,7,1,Enriched in Strong
rbsD,1,0,11,7,1,Enriched in Strong
dksA_2,1,0,11,7,1,Enriched in Strong
group_1989,1,0,11,7,1,Enriched in Strong
group_1988,1,0,11,7,1,Enriched in Strong
group_1987,1,0,11,7,1,Enriched in Strong
fur,1,0,11,7,1,Enriched in Strong
group_1986,1,0,11,7,1,Enriched in Strong
group_1985,1,0,11,7,1,Enriched in Strong
group_1984,1,0,11,7,1,Enriched in Strong
group_1983,1,0,11,7,1,Enriched in Strong
exbD_3,1,0,11,7,1,Enriched in Strong
group_1980,1,0,11,7,1,Enriched in Strong
group_1979,1,0,11,7,1,Enriched in Strong
flgB,1,0,11,7,1,Enriched in Strong
group_1978,1,0,11,7,1,Enriched in Strong
group_1977,1,0,11,7,1,Enriched in Strong
group_1976,1,0,11,7,1,Enriched in Strong
walR_1,1,0,11,7,1,Enriched in Strong
group_1975,1,0,11,7,1,Enriched in Strong
group_1974,1,0,11,7,1,Enriched in Strong
hiuH,1,0,11,7,1,Enriched in Strong
group_1969,1,0,11,7,1,Enriched in Strong
fosA,1,0,11,7,1,Enriched in Strong
rnk,1,0,11,7,1,Enriched in Strong
ndhC,1,0,11,7,1,Enriched in Strong
pilA,1,0,11,7,1,Enriched in Strong
arnF,1,0,11,7,1,Enriched in Strong
group_1965,1,0,11,7,1,Enriched in Strong
rplP,1,0,11,7,1,Enriched in Strong
group_1964,1,0,11,7,1,Enriched in Strong
arfB,1,0,11,7,1,Enriched in Strong
arnE_1,1,0,11,7,1,Enriched in Strong
group_1960,1,0,11,7,1,Enriched in Strong
group_1959,1,0,11,7,1,Enriched in Strong
atpC,1,0,11,7,1,Enriched in Strong
group_1958,1,0,11,7,1,Enriched in Strong
group_1957,1,0,11,7,1,Enriched in Strong
group_1956,1,0,11,7,1,Enriched in Strong
mscL,1,0,11,7,1,Enriched in Strong
group_1954,1,0,11,7,1,Enriched in Strong
group_1953,1,0,11,7,1,Enriched in Strong
group_1952,1,0,11,7,1,Enriched in Strong
sspB,1,0,11,7,1,Enriched in Strong
group_1944,1,0,11,7,1,Enriched in Strong
group_1943,1,0,11,7,1,Enriched in Strong
group_1942,1,0,11,7,1,Enriched in Strong
group_1941,1,0,11,7,1,Enriched in Strong
ohrB,1,0,11,7,1,Enriched in Strong
group_1934,1,0,11,7,1,Enriched in Strong
group_1933,1,0,11,7,1,Enriched in Strong
group_1932,1,0,11,7,1,Enriched in Strong
farR,1,0,11,7,1,Enriched in Strong
rutC_3,1,0,11,7,1,Enriched in Strong
group_1931,1,0,11,7,1,Enriched in Strong
yhfA,1,0,11,7,1,Enriched in Strong
group_1926,1,0,11,7,1,Enriched in Strong
group_1923,1,0,11,7,1,Enriched in Strong
ndk,1,0,11,7,1,Enriched in Strong
group_1922,1,0,11,7,1,Enriched in Strong
group_1921,1,0,11,7,1,Enriched in Strong
group_1920,1,0,11,7,1,Enriched in Strong
exbD_1,1,0,11,7,1,Enriched in Strong
tolR,1,0,11,7,1,Enriched in Strong
group_1916,1,0,11,7,1,Enriched in Strong
rplM,1,0,11,7,1,Enriched in Strong
group_1915,1,0,11,7,1,Enriched in Strong
holC,1,0,11,7,1,Enriched in Strong
group_1913,1,0,11,7,1,Enriched in Strong
group_1912,1,0,11,7,1,Enriched in Strong
group_1911,1,0,11,7,1,Enriched in Strong
group_1910,1,0,11,7,1,Enriched in Strong
group_1909,1,0,11,7,1,Enriched in Strong
group_1903,1,0,11,7,1,Enriched in Strong
group_1902,1,0,11,7,1,Enriched in Strong
group_1901,1,0,11,7,1,Enriched in Strong
rplK,1,0,11,7,1,Enriched in Strong
group_1900,1,0,11,7,1,Enriched in Strong
group_1899,1,0,11,7,1,Enriched in Strong
group_1892,1,0,11,7,1,Enriched in Strong
group_1891,1,0,11,7,1,Enriched in Strong
ratA,1,0,11,7,1,Enriched in Strong
group_1890,1,0,11,7,1,Enriched in Strong
mhqP,1,0,11,7,1,Enriched in Strong
slyA_1,1,0,11,7,1,Enriched in Strong
group_1889,1,0,11,7,1,Enriched in Strong
group_1888,1,0,11,7,1,Enriched in Strong
group_1885,1,0,11,7,1,Enriched in Strong
pfyP_2,1,0,11,7,1,Enriched in Strong
rplO,1,0,11,7,1,Enriched in Strong
yqgF,1,0,11,7,1,Enriched in Strong
group_1882,1,0,11,7,1,Enriched in Strong
hrp1,1,0,11,7,1,Enriched in Strong
lrpC_2,1,0,11,7,1,Enriched in Strong
yqaA,1,0,11,7,1,Enriched in Strong
group_1881,1,0,11,7,1,Enriched in Strong
group_1880,1,0,11,7,1,Enriched in Strong
aroQ_2,1,0,11,7,1,Enriched in Strong
group_1879,1,0,11,7,1,Enriched in Strong
group_1878,1,0,11,7,1,Enriched in Strong
tspO,1,0,11,7,1,Enriched in Strong
aroQ_1,1,0,11,7,1,Enriched in Strong
group_1876,1,0,11,7,1,Enriched in Strong
group_1874,1,0,11,7,1,Enriched in Strong
group_1871,1,0,11,7,1,Enriched in Strong
group_1870,1,0,11,7,1,Enriched in Strong
dksA_1,1,0,11,7,1,Enriched in Strong
group_1869,1,0,11,7,1,Enriched in Strong
xcpT,1,0,11,7,1,Enriched in Strong
group_1864,1,0,11,7,1,Enriched in Strong
group_1863,1,0,11,7,1,Enriched in Strong
group_1862,1,0,11,7,1,Enriched in Strong
group_1861,1,0,11,7,1,Enriched in Strong
group_1860,1,0,11,7,1,Enriched in Strong
group_1859,1,0,11,7,1,Enriched in Strong
lrp_2,1,0,11,7,1,Enriched in Strong
atoC_1,1,0,11,7,1,Enriched in Strong
ybbJ,1,0,11,7,1,Enriched in Strong
group_1858,1,0,11,7,1,Enriched in Strong
sixA,1,0,11,7,1,Enriched in Strong
soxR,1,0,11,7,1,Enriched in Strong
moaE,1,0,11,7,1,Enriched in Strong
sigE,1,0,11,7,1,Enriched in Strong
group_1852,1,0,11,7,1,Enriched in Strong
group_1851,1,0,11,7,1,Enriched in Strong
fliJ,1,0,11,7,1,Enriched in Strong
merR1_1,1,0,11,7,1,Enriched in Strong
group_1850,1,0,11,7,1,Enriched in Strong
group_1849,1,0,11,7,1,Enriched in Strong
rnhA,1,0,11,7,1,Enriched in Strong
rimI,1,0,11,7,1,Enriched in Strong
fkpB,1,0,11,7,1,Enriched in Strong
flgC,1,0,11,7,1,Enriched in Strong
group_1843,1,0,11,7,1,Enriched in Strong
group_1842,1,0,11,7,1,Enriched in Strong
ohrR,1,0,11,7,1,Enriched in Strong
elaA,1,0,11,7,1,Enriched in Strong
mraZ,1,0,11,7,1,Enriched in Strong
group_1837,1,0,11,7,1,Enriched in Strong
group_1836,1,0,11,7,1,Enriched in Strong
group_1835,1,0,11,7,1,Enriched in Strong
group_1834,1,0,11,7,1,Enriched in Strong
group_1833,1,0,11,7,1,Enriched in Strong
group_1832,1,0,11,7,1,Enriched in Strong
group_1831,1,0,11,7,1,Enriched in Strong
ybgC,1,0,11,7,1,Enriched in Strong
group_1830,1,0,11,7,1,Enriched in Strong
group_1829,1,0,11,7,1,Enriched in Strong
group_1827,1,0,11,7,1,Enriched in Strong
group_1826,1,0,11,7,1,Enriched in Strong
dut,1,0,11,7,1,Enriched in Strong
group_1821,1,0,11,7,1,Enriched in Strong
group_1820,1,0,11,7,1,Enriched in Strong
ibpA_1,1,0,11,7,1,Enriched in Strong
ybeY,1,0,11,7,1,Enriched in Strong
group_1819,1,0,11,7,1,Enriched in Strong
group_1818,1,0,11,7,1,Enriched in Strong
rpiB,1,0,11,7,1,Enriched in Strong
group_1814,1,0,11,7,1,Enriched in Strong
resA_2,1,0,11,7,1,Enriched in Strong
group_1813,1,0,11,7,1,Enriched in Strong
group_1812,1,0,11,7,1,Enriched in Strong
group_1811,1,0,11,7,1,Enriched in Strong
exbD_2,1,0,11,7,1,Enriched in Strong
group_1810,1,0,11,7,1,Enriched in Strong
group_1806,1,0,11,7,1,Enriched in Strong
ptsN,1,0,11,7,1,Enriched in Strong
group_1805,1,0,11,7,1,Enriched in Strong
group_1804,1,0,11,7,1,Enriched in Strong
group_1803,1,0,11,7,1,Enriched in Strong
bfr_1,1,0,11,7,1,Enriched in Strong
group_1802,1,0,11,7,1,Enriched in Strong
group_1801,1,0,11,7,1,Enriched in Strong
group_1791,1,0,11,7,1,Enriched in Strong
iorA,1,0,11,7,1,Enriched in Strong
group_1790,1,0,11,7,1,Enriched in Strong
group_1789,1,0,11,7,1,Enriched in Strong
mlaD,1,0,11,7,1,Enriched in Strong
yjaB_2,1,0,11,7,1,Enriched in Strong
rlmH,1,0,11,7,1,Enriched in Strong
pfyP_1,1,0,11,7,1,Enriched in Strong
group_1788,1,0,11,7,1,Enriched in Strong
group_1787,1,0,11,7,1,Enriched in Strong
ccmE,1,0,11,7,1,Enriched in Strong
group_1786,1,0,11,7,1,Enriched in Strong
fliN,1,0,11,7,1,Enriched in Strong
group_1780,1,0,11,7,1,Enriched in Strong
group_1779,1,0,11,7,1,Enriched in Strong
group_1778,1,0,11,7,1,Enriched in Strong
decR_3,1,0,11,7,1,Enriched in Strong
atpF,1,0,11,7,1,Enriched in Strong
group_1777,1,0,11,7,1,Enriched in Strong
ybaK,1,0,11,7,1,Enriched in Strong
bfr_2,1,0,11,7,1,Enriched in Strong
nrdR,1,0,11,7,1,Enriched in Strong
rpsG,1,0,11,7,1,Enriched in Strong
group_1776,1,0,11,7,1,Enriched in Strong
phaJ,1,0,11,7,1,Enriched in Strong
cynS,1,0,11,7,1,Enriched in Strong
decR_1,1,0,11,7,1,Enriched in Strong
group_1768,1,0,11,7,1,Enriched in Strong
marR,1,0,11,7,1,Enriched in Strong
moaC,1,0,11,7,1,Enriched in Strong
lrp_3,1,0,11,7,1,Enriched in Strong
group_1767,1,0,11,7,1,Enriched in Strong
ccmH,1,0,11,7,1,Enriched in Strong
greB,1,0,11,7,1,Enriched in Strong
sulA,1,0,11,7,1,Enriched in Strong
group_1766,1,0,11,7,1,Enriched in Strong
bcp,1,0,11,7,1,Enriched in Strong
group_1761,1,0,11,7,1,Enriched in Strong
group_1760,1,0,11,7,1,Enriched in Strong
rclC,1,0,11,7,1,Enriched in Strong
rimP,1,0,11,7,1,Enriched in Strong
greA_2,1,0,11,7,1,Enriched in Strong
group_1759,1,0,11,7,1,Enriched in Strong
ribH,1,0,11,7,1,Enriched in Strong
group_1758,1,0,11,7,1,Enriched in Strong
group_1757,1,0,11,7,1,Enriched in Strong
group_1756,1,0,11,7,1,Enriched in Strong
group_1755,1,0,11,7,1,Enriched in Strong
group_1747,1,0,11,7,1,Enriched in Strong
group_1745,1,0,11,7,1,Enriched in Strong
yfcQ,1,0,11,7,1,Enriched in Strong
lrp_4,1,0,11,7,1,Enriched in Strong
nusG,1,0,11,7,1,Enriched in Strong
coaD,1,0,11,7,1,Enriched in Strong
rppH,1,0,11,7,1,Enriched in Strong
lrp_5,1,0,11,7,1,Enriched in Strong
group_1737,1,0,11,7,1,Enriched in Strong
decR_2,1,0,11,7,1,Enriched in Strong
fecI_4,1,0,11,7,1,Enriched in Strong
group_1736,1,0,11,7,1,Enriched in Strong
smpB,1,0,11,7,1,Enriched in Strong
btuE_2,1,0,11,7,1,Enriched in Strong
msrC,1,0,11,7,1,Enriched in Strong
group_1735,1,0,11,7,1,Enriched in Strong
group_1734,1,0,11,7,1,Enriched in Strong
cheW,1,0,11,7,1,Enriched in Strong
group_1733,1,0,11,7,1,Enriched in Strong
slyD,1,0,11,7,1,Enriched in Strong
group_1729,1,0,11,7,1,Enriched in Strong
folK_2,1,0,11,7,1,Enriched in Strong
group_1727,1,0,11,7,1,Enriched in Strong
gpx1,1,0,11,7,1,Enriched in Strong
group_1726,1,0,11,7,1,Enriched in Strong
group_1725,1,0,11,7,1,Enriched in Strong
group_1724,1,0,11,7,1,Enriched in Strong
group_1718,1,0,11,7,1,Enriched in Strong
group_1717,1,0,11,7,1,Enriched in Strong
mreD,1,0,11,7,1,Enriched in Strong
hcpA_1,1,0,11,7,1,Enriched in Strong
group_1716,1,0,11,7,1,Enriched in Strong
group_1715,1,0,11,7,1,Enriched in Strong
group_1713,1,0,11,7,1,Enriched in Strong
psiE,1,0,11,7,1,Enriched in Strong
group_1712,1,0,11,7,1,Enriched in Strong
group_1711,1,0,11,7,1,Enriched in Strong
group_1710,1,0,11,7,1,Enriched in Strong
group_1709,1,0,11,7,1,Enriched in Strong
lrp_1,1,0,11,7,1,Enriched in Strong
hcp1_1,1,0,11,7,1,Enriched in Strong
group_1708,1,0,11,7,1,Enriched in Strong
group_1707,1,0,11,7,1,Enriched in Strong
group_1706,1,0,11,7,1,Enriched in Strong
ilvH,1,0,11,7,1,Enriched in Strong
pal_3,1,0,11,7,1,Enriched in Strong
iscR,1,0,11,7,1,Enriched in Strong
group_1705,1,0,11,7,1,Enriched in Strong
group_1704,1,0,11,7,1,Enriched in Strong
group_1703,1,0,11,7,1,Enriched in Strong
purE,1,0,11,7,1,Enriched in Strong
antB,1,0,11,7,1,Enriched in Strong
fliY_1,1,0,11,7,1,Enriched in Strong
group_1700,1,0,11,7,1,Enriched in Strong
group_1699,1,0,11,7,1,Enriched in Strong
group_1698,1,0,11,7,1,Enriched in Strong
group_1697,1,0,11,7,1,Enriched in Strong
group_1696,1,0,11,7,1,Enriched in Strong
sprT,1,0,11,7,1,Enriched in Strong
group_1695,1,0,11,7,1,Enriched in Strong
yfcR,1,0,11,7,1,Enriched in Strong
