Gene,Freq,Category,IsNamed,InSixtyLake,InConnessPond,PondPattern
pntAA,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3836,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3835,18,Core,FALSE,TRUE,TRUE,Both ponds
metN_3,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3834,18,Core,FALSE,TRUE,TRUE,Both ponds
ctaG,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3833,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3832,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3831,18,Core,FALSE,TRUE,TRUE,Both ponds
pntB,18,Core,TRUE,TRUE,TRUE,Both ponds
tsaC,18,Core,TRUE,TRUE,TRUE,Both ponds
tag_1,18,Core,TRUE,TRUE,TRUE,Both ponds
zur,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3830,18,Core,FALSE,TRUE,TRUE,Both ponds
znuA,18,Core,TRUE,TRUE,TRUE,Both ponds
kinB,18,Core,TRUE,TRUE,TRUE,Both ponds
amiD_2,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3829,18,Core,FALSE,TRUE,TRUE,Both ponds
dgoD_2,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3828,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3827,18,Core,FALSE,TRUE,TRUE,Both ponds
dsbA,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3826,18,Core,FALSE,TRUE,TRUE,Both ponds
polA,18,Core,TRUE,TRUE,TRUE,Both ponds
hemF,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3825,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3824,18,Core,FALSE,TRUE,TRUE,Both ponds
metQ_3,18,Core,TRUE,TRUE,TRUE,Both ponds
osmC,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3823,18,Core,FALSE,TRUE,TRUE,Both ponds
dgoT,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3822,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3821,18,Core,FALSE,TRUE,TRUE,Both ponds
citN_3,18,Core,TRUE,TRUE,TRUE,Both ponds
engB,18,Core,TRUE,TRUE,TRUE,Both ponds
znuC_2,18,Core,TRUE,TRUE,TRUE,Both ponds
rsmB,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3820,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3819,18,Core,FALSE,TRUE,TRUE,Both ponds
znuB_2,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3818,18,Core,FALSE,TRUE,TRUE,Both ponds
pntA,18,Core,TRUE,TRUE,TRUE,Both ponds
cat1,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3817,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3816,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3815,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3814,18,Core,FALSE,TRUE,TRUE,Both ponds
