Gene,p_value,odds_ratio,n_strong_present,n_weak_present,p_adj,Direction,Category
group_1327,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1277,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1191,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1127,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_973,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_815,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
gcvA_4,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_610,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_359,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_18,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3531,0.007936507936507936,0,0,4,0.03284130354194048,Enriched in Weak,Accessory
group_3360,0.007936507936507936,0,0,4,0.03284130354194048,Enriched in Weak,Accessory
group_3182,0.007936507936507936,0,0,4,0.03284130354194048,Enriched in Weak,Accessory
group_2961,0.007936507936507936,0,0,4,0.03284130354194048,Enriched in Weak,Accessory
group_412,0.007936507936507936,0,0,4,0.03284130354194048,Enriched in Weak,Accessory
group_3643,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3409,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3408,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3407,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3406,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3405,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3399,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3361,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3339,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
intA~~~intA_3,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3255,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3254,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3171,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3013,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2919,0.007936507936507936,0,0,4,0.03284130354194048,Enriched in Weak,Accessory
group_2848,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2321,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1325,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_227,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_4338,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_4336,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_4335,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_4334,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_4333,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3796,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3794,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3792,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3790,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3789,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3786,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
