Sp1	Sp2	ANI	Lake1	Lake2	Comparison
649D1	CP6A	99.1942	Sixty Lake	Conness Pond	Different Pond
649D1	631B	99.2047	Sixty Lake	Sixty Lake	Same Pond
629A2A	628C	99.9156	Sixty Lake	Sixty Lake	Same Pond
CP12E	CP20G1	99.9705	Conness Pond	Conness Pond	Same Pond
631B	CP8C	99.972	Sixty Lake	Conness Pond	Different Pond
CP2A	CP20G1	99.9723	Conness Pond	Conness Pond	Same Pond
632B	CP17D	99.9738	Sixty Lake	Conness Pond	Different Pond
CP13A	CP15C	99.9741	Conness Pond	Conness Pond	Same Pond
632B	CP15C	99.9762	Sixty Lake	Conness Pond	Different Pond
CP20G1	CP3F2	99.9762	Conness Pond	Conness Pond	Same Pond
CP10A	CP20G1	99.9766	Conness Pond	Conness Pond	Same Pond
CP6A	CP8C	99.9766	Conness Pond	Conness Pond	Same Pond
CP8C	CP6A	99.9767	Conness Pond	Conness Pond	Same Pond
643E	633A	99.9772	Sixty Lake	Sixty Lake	Same Pond
CP19F2	CP20G1	99.9774	Conness Pond	Conness Pond	Same Pond
CP12E	CP3F2	99.9774	Conness Pond	Conness Pond	Same Pond
CP12E	CP19F2	99.9776	Conness Pond	Conness Pond	Same Pond
CP3F2	CP20G1	99.9776	Conness Pond	Conness Pond	Same Pond
632B	CP13A	99.9777	Sixty Lake	Conness Pond	Different Pond
642A	CP17D	99.9779	Sixty Lake	Conness Pond	Different Pond
CP13A	632B	99.978	Conness Pond	Sixty Lake	Different Pond
CP20G1	CP12E	99.9781	Conness Pond	Conness Pond	Same Pond
CP2A	CP3F2	99.9784	Conness Pond	Conness Pond	Same Pond
CP15C	642A	99.9785	Conness Pond	Sixty Lake	Different Pond
CP15C	CP13A	99.9785	Conness Pond	Conness Pond	Same Pond
642A	CP15C	99.9787	Sixty Lake	Conness Pond	Different Pond
CP2A	CP12E	99.9788	Conness Pond	Conness Pond	Same Pond
CP17D	632B	99.979	Conness Pond	Sixty Lake	Different Pond
CP15C	CP17D	99.979	Conness Pond	Conness Pond	Same Pond
631B	CP6A	99.979	Sixty Lake	Conness Pond	Different Pond
CP17D	642A	99.9794	Conness Pond	Sixty Lake	Different Pond
CP17D	CP15C	99.9794	Conness Pond	Conness Pond	Same Pond
CP15C	632B	99.9798	Conness Pond	Sixty Lake	Different Pond
CP13A	CP17D	99.9799	Conness Pond	Conness Pond	Same Pond
632B	642A	99.98	Sixty Lake	Sixty Lake	Same Pond
642A	632B	99.9802	Sixty Lake	Sixty Lake	Same Pond
633A	643E	99.9804	Sixty Lake	Sixty Lake	Same Pond
CP19F2	CP3F2	99.9804	Conness Pond	Conness Pond	Same Pond
CP2A	CP19F2	99.9806	Conness Pond	Conness Pond	Same Pond
CP10A	CP12E	99.9807	Conness Pond	Conness Pond	Same Pond
CP17D	CP13A	99.9807	Conness Pond	Conness Pond	Same Pond
642A	CP13A	99.981	Sixty Lake	Conness Pond	Different Pond
CP3F2	CP2A	99.9812	Conness Pond	Conness Pond	Same Pond
643E	638A1	99.9813	Sixty Lake	Sixty Lake	Same Pond
CP20G1	CP19F2	99.9816	Conness Pond	Conness Pond	Same Pond
CP20G1	CP10A	99.9817	Conness Pond	Conness Pond	Same Pond
CP10A	CP3F2	99.9817	Conness Pond	Conness Pond	Same Pond
638A1	633A	99.9821	Sixty Lake	Sixty Lake	Same Pond
CP19F2	CP12E	99.9824	Conness Pond	Conness Pond	Same Pond
CP12E	CP10A	99.9829	Conness Pond	Conness Pond	Same Pond
633A	638A1	99.9833	Sixty Lake	Sixty Lake	Same Pond
CP13A	642A	99.9836	Conness Pond	Sixty Lake	Different Pond
CP3F2	CP12E	99.9836	Conness Pond	Conness Pond	Same Pond
CP8C	631B	99.9839	Conness Pond	Sixty Lake	Different Pond
CP3F2	CP19F2	99.9839	Conness Pond	Conness Pond	Same Pond
CP2A	CP10A	99.9841	Conness Pond	Conness Pond	Same Pond
CP12E	CP2A	99.9847	Conness Pond	Conness Pond	Same Pond
CP6A	631B	99.9849	Conness Pond	Sixty Lake	Different Pond
CP20G1	CP2A	99.9849	Conness Pond	Conness Pond	Same Pond
638A1	643E	99.9852	Sixty Lake	Sixty Lake	Same Pond
CP10A	CP2A	99.9852	Conness Pond	Conness Pond	Same Pond
CP19F2	CP2A	99.9856	Conness Pond	Conness Pond	Same Pond
CP19F2	CP10A	99.9865	Conness Pond	Conness Pond	Same Pond
CP10A	CP19F2	99.987	Conness Pond	Conness Pond	Same Pond
CP3F2	CP10A	99.9876	Conness Pond	Conness Pond	Same Pond
628C	628C	100	Sixty Lake	Sixty Lake	Same Pond
629A2A	629A2A	100	Sixty Lake	Sixty Lake	Same Pond
630A	630A	100	Sixty Lake	Sixty Lake	Same Pond
631B	631B	100	Sixty Lake	Sixty Lake	Same Pond
632B	632B	100	Sixty Lake	Sixty Lake	Same Pond
633A	633A	100	Sixty Lake	Sixty Lake	Same Pond
638A1	638A1	100	Sixty Lake	Sixty Lake	Same Pond
642A	642A	100	Sixty Lake	Sixty Lake	Same Pond
643E	643E	100	Sixty Lake	Sixty Lake	Same Pond
649D1	649D1	100	Sixty Lake	Sixty Lake	Same Pond
CP10A	CP10A	100	Conness Pond	Conness Pond	Same Pond
CP12E	CP12E	100	Conness Pond	Conness Pond	Same Pond
CP13A	CP13A	100	Conness Pond	Conness Pond	Same Pond
CP15C	CP15C	100	Conness Pond	Conness Pond	Same Pond
CP17D	CP17D	100	Conness Pond	Conness Pond	Same Pond
CP19F2	CP19F2	100	Conness Pond	Conness Pond	Same Pond
CP20G1	CP20G1	100	Conness Pond	Conness Pond	Same Pond
CP2A	CP2A	100	Conness Pond	Conness Pond	Same Pond
CP3F2	CP3F2	100	Conness Pond	Conness Pond	Same Pond
CP5A	CP5A	100	Conness Pond	Conness Pond	Same Pond
CP6A	CP6A	100	Conness Pond	Conness Pond	Same Pond
CP8C	CP8C	100	Conness Pond	Conness Pond	Same Pond
