Gene	KO
prlC	K01414
hslV	K01419
anr	K01420
anr_1	K01420
bepA_1	K01423
ansA	K01424
glsA2	K01425
amiE	K01426
QRSL1	K01426
aam_2	K01426
ureC	K01428
ureB	K01429
ureA	K01430
purU_1	K01433
purU_2	K01433
quiP_1	K01434
argE_1	K01438
argE_2	K01438
group_561	K01438
dapE	K01439
agaA	K01443
amiD_1	K01447
amiC_1	K01448
amiC_4	K01448
fmdA	K01455
atzF	K01457
group_3465	K01458
def_1	K01462
def_2	K01462
dht	K01464
pyrC	K01465
pyrC_1	K01465
pyrC_2	K01465
ampC	K01467
hutI	K01468
crnA	K01470
apc3	K01473
apc4	K01474
alc	K01477
arcA	K01478
allA	K01483
astB	K01484
codA_1	K01485
codA_2	K01485
guaD_1	K01487
guaD_2	K01487
folD	K01491
dcd	K01494
folE_1	K01495
folE_2	K01495
folE_3	K01495
hisI_1	K01496
hisI_1~~~hisI_2	K01496
ribA	K01497
group_843	K01501
dcyD_1	K01505
ramA_1	K01506
ppa	K01507
nudF	K01515
rdgB	K01519
dut	K01520
cdh	K01521
hisE	K01523
ppx	K01524
apaH_1	K01525
mgtB	K01531
mgtA_2	K01531
group_3229	K01531
copA_1	K01533
cadA_1	K01534
group_96	K01537
kdpA_1	K01546
kdpA_2	K01546
kdpB_1	K01547
kdpB_2	K01547
kdpC_2	K01548
kdpC_1	K01548
group_441	K01555
kynU	K01556
group_1396	K01560
dehH1	K01561
gadA	K01580
ldc	K01581
adiA	K01584
speA	K01585
lysA_1	K01586
lysA_2	K01586
purE	K01588
purK	K01589
pyrF	K01591
ppc_1	K01595
ppc_2	K01595
hemE	K01599
group_2043	K01607
group_3704	K01607
group_2948	K01607
gcl	K01608
trpC	K01609
pckA	K01610
psd	K01613
deoC1	K01619
ltaE_1	K01620
ltaE_2	K01620
xpkA	K01621
group_2904	K01623
cbbA	K01624
fda	K01624
eda	K01625
aroF_1	K01626
aroH	K01626
aroF_2	K01626
kdsA	K01627
fucA_1	K01628
dgoA	K01631
folB	K01633
aceA	K01637
glcB	K01638
glcB_2	K01638
yngG	K01640
liuE	K01640
gltA	K01647
leuA	K01649
leuA_2	K01649
aruI_1	K01652
ilvI	K01652
ilvI_2	K01652
iolD_2	K01652
ilvH	K01653
group_4157	K01653
group_4085	K01653
trpE	K01657
trpG	K01658
prpC_2	K01659
dxs	K01662
pabB	K01665
phrB_2	K01669
cynT_1	K01673
can	K01673
cynT_2	K01673
fumA	K01676
fumC_1	K01679
fumC_2	K01679
acnA	K01681
acnB_2	K01682
dgoD_1	K01684
dgoD_2	K01684
ilvD	K01687
eno	K01689
edd	K01690
echA8	K01692
hisB	K01693
trpA	K01695
trpB	K01696
cbs	K01697
hemB_1	K01698
hemB_2	K01698
leuC_1	K01703
leuC_2	K01703
leuD1_1	K01704
leuD1_2	K01704
gudD	K01706
group_859	K01707
garD	K01708
rffG	K01710
rfbB	K01710
gmd	K01711
hutU	K01712
pheC	K01713
dapA_1	K01714
dapA_2	K01714
dapA_4~~~dapA_3	K01714
fabA	K01716
hemD	K01719
prpD	K01720
group_2135	K01724
cynS	K01725
algL	K01729
thrC	K01733
group_3498	K01735
aroB_2	K01735
aroC	K01736
queD	K01737
cysK_1	K01738
cysK_2	K01738
group_3793	K01738
oah1	K01740
aspA	K01744
hutH_1	K01745
hutH_2	K01745
hutH_3	K01745
hemC	K01749
ocd	K01750
sdaA_1	K01752
sdaB	K01752
sdaA_2	K01752
group_496	K01753
ilvA_1	K01754
ilvA_2	K01754
argH_1	K01755
argH_2	K01755
purB	K01756
metC	K01758
group_2021	K01759
gloA	K01759
mdeA	K01761
sufS_1	K01766
ispF	K01770
hemH	K01772
alr	K01775
murI	K01776
group_3877	K01777
dapF_1	K01778
dapF_2	K01778
dapF_3	K01778
fadJ_1	K01782
rpe	K01783
group_3596	K01784
mro	K01785
yphB	K01785
rmlC_1	K01790
rmlC_2	K01790
group_1566	K01790
yeaD_1	K01792
yeaD_2	K01792
algG	K01795
smtB_3	K01796
maiA	K01799
nagL	K01800
fbp_2~~~fbp_1	K01802
fbp_2	K01802
tpiA	K01803
tpiA_1	K01803
rpiA	K01807
rpiB	K01808
pgi	K01810
hisA	K01814
hyi	K01816
trpF	K01817
group_3553	K01821
group_3444	K01821
fadB	K01825
group_2114	K01826
hpcD	K01826
pgm	K01835
hemL	K01845
catB	K01856
pcaB	K01857
tyrS	K01866
group_385	K01867
thrS	K01868
leuS	K01869
ileS	K01870
alaS	K01872
group_1394	K01872
valS	K01873
metG	K01874
serS	K01875
aspS	K01876
glyQ	K01878
group_2777	K01878
glyS	K01879
proS	K01881
cysS	K01883
gltX	K01885
glnS	K01886
argS	K01887
pheS	K01889
pheT	K01890
hisS	K01892
gluQ	K01894
acsA_1	K01895
acsA_2	K01895
acs_1	K01895
fadD_1	K01897
fadD_2	K01897
fadD_3	K01897
group_238	K01897
fadD_4	K01897
fadD_5	K01897
group_4184	K01897
fadD_6	K01897
sucD	K01902
sucC	K01903
acs_3~~~acs_2	K01907
puuA_1	K01915
puuA_2	K01915
puuA_3	K01915
glnA	K01915
puuA_5	K01915
nadE_1	K01916
panC	K01918
gshA	K01919
gshB	K01920
ddlA	K01921
ddl	K01921
purC	K01923
murC	K01924
murD	K01925
murE	K01928
murF	K01929
purM	K01933
group_1380	K01934
bioD1	K01935
pyrG_2	K01937
purA	K01939
argG	K01940
carB_1	K01941
group_923	K01941
purD	K01945
guaA	K01951
purL	K01952
asnB	K01953
carB_2	K01955
carA	K01956
cfiB	K01959
oadA	K01960
accC	K01961
accA_2	K01962
accD	K01963
accA1_2	K01968
group_257	K01969
ligD	K01971
ligB	K01972
ligA	K01972
yadG	K01990
yhhJ	K01992
yadH	K01992
group_783	K01993
glnQ_3	K01995
lptB_3	K01995
cysA_2	K01995
lptB_5	K01995
livF_1	K01996
livF_3	K01996
livF_6	K01996
livF_7	K01996
livH_1	K01997
livH_2	K01997
livH_4	K01997
livH_5	K01997
group_3672	K01998
group_706	K01998
group_658	K01998
group_3771	K01998
braC_1	K01999
group_502	K01999
group_395	K01999
braC_2	K01999
btuD_1	K02000
opuAA	K02000
opuAB_1	K02001
opuAB_2	K02001
group_809	K02002
group_816	K02002
group_968	K02002
group_3574	K02002
group_3589	K02002
group_3834	K02002
group_704	K02002
group_1946	K02002
group_3275	K02002
ytrE	K02003
lolD_2	K02003
group_1213	K02003
group_1307	K02003
yknY	K02003
group_517	K02004
group_81	K02004
