Gene	KO
parB	K03497
noc_1	K03497
noc_2	K03497
group_978	K03497
noc~~~noc_3	K03497
trkI	K03498
ktrB	K03498
trkA	K03499
ktrA	K03499
rsmB	K03500
rsmG	K03501
umuC	K03502
umuC_1	K03502
umuD_1	K03503
group_2677	K03503
umuD_2	K03503
nadA	K03517
etfB	K03521
etfA	K03522
birA	K03524
coaX	K03525
ispG	K03526
ispH	K03527
zipA	K03528
smc_1	K03529
hupB_2	K03530
hupB_3	K03530
ftsZ	K03531
gudP	K03535
emrA_2	K03543
emrA_3	K03543
emrA_4	K03543
clpX	K03544
tig	K03545
group_21	K03546
sbcD	K03547
group_630	K03548
kup	K03549
ruvA	K03550
ruvB_2	K03551
recA	K03553
rdgC	K03554
mutS	K03555
malT_3	K03556
fis	K03557
group_1537	K03558
exbD_1	K03559
tolR	K03559
exbD_3	K03559
exbD_4	K03559
exbD_2	K03560
tolQ_1	K03561
tolQ_3	K03561
tolQ_4	K03561
tolQ_5	K03561
tolQ_2	K03562
csrA	K03563
csrA2	K03563
csrA1	K03563
csrA1_2	K03563
bcp	K03564
recX	K03565
gcvA_1	K03566
gcvA_2	K03566
group_895	K03566
group_3628	K03566
gcvA_6	K03566
gcvA_7	K03566
gcvA_10	K03566
gcvA_4	K03566
gcvA_6~~~gcvA_3	K03566
gcvA_11~~~gcvA_9	K03566
gcvA_8	K03566
gcvR	K03567
tldD	K03568
mreB	K03569
group_4065	K03569
mreC	K03570
mreD	K03571
mutL	K03572
thiE_1	K03574
group_2120	K03574
mutY	K03575
metR_2	K03576
ttgR	K03577
group_13	K03578
hrpB	K03579
rapA	K03580
recD_1	K03581
recB	K03582
recC	K03583
recO	K03584
ttgA	K03585
mdtA_3	K03585
mexA	K03585
ftsL	K03586
ftsI	K03587
ftsW	K03588
ftsQ	K03589
ftsA	K03590
pmbA	K03592
apbC	K03593
group_3697	K03594
bfr_1	K03594
bfr_2	K03594
era	K03595
lepA	K03596
mucA	K03597
mucB	K03598
sspA	K03599
sspB	K03600
xseA	K03601
xseB	K03602
minE	K03608
minD	K03609
minC	K03610
dsbB_1	K03611
dsbB_2	K03611
rsxB	K03616
plsX	K03621
greA_2	K03624
nusB	K03625
rho	K03628
group_599	K03629
group_1291	K03630
recN	K03631
lolA	K03634
moaE	K03635
moaD	K03636
moaC	K03637
moaB	K03638
moaA	K03639
pal_2	K03640
tolB	K03641
rlpA_1	K03642
rlpA_2	K03642
lptE	K03643
lipA	K03644
group_628	K03646
ung	K03648
mug	K03649
mnmE	K03650
cpdA_1	K03651
cpdA_2	K03651
group_1275	K03652
recQ	K03654
rhlB_2	K03654
recG	K03655
rep_1	K03656
uvrD	K03657
rep_3	K03657
recB_2	K03657
smpB	K03664
hflX	K03665
hfq	K03666
hslU	K03667
group_1988	K03668
opgH	K03669
mdoG	K03670
trxA	K03671
group_1707	K03671
trxC	K03672
dsbA	K03673
grxC	K03676
rnt	K03683
rnd	K03684
rnc	K03685
dnaJ	K03686
grpE	K03687
ubiB	K03688
ubiJ	K03690
clpA	K03694
clpB_2	K03695
group_394	K03699
group_468	K03699
uvrA_1	K03701
uvrA_2	K03701
uvrB	K03702
uvrC	K03703
cspA_2	K03704
group_1441	K03704
cspA_3	K03704
capB_1	K03704
capB_2	K03704
cspA_1	K03704
group_3188	K03704
group_1364	K03710
mngR	K03710
fur	K03711
nhaR	K03717
lrp_1	K03719
lrp_3	K03719
lrp_4	K03719
group_1689	K03719
decR_2	K03719
lrpC_2	K03719
lrp_5	K03719
decR_3	K03719
lrpC_2~~~lrpC_1	K03719
tyrR_1	K03721
tyrR_2	K03721
dinG_3	K03722
mfd	K03723
srmB	K03724
dbpA_2	K03724
rhlB_1	K03732
xerC_1	K03733
apbE	K03734
eutB	K03735
group_2552	K03735
eutC	K03736
arsC	K03741
pncC	K03743
pncC_2	K03743
lemA_1	K03744
lemA_2	K03744
slyX	K03745
dedD	K03749
moeA	K03750
mobA_1	K03752
arcD_1	K03758
arcD_2	K03758
kgtP_1	K03761
abaF	K03762
proP_3	K03762
proP_4	K03762
ppiA	K03767
group_1678	K03768
ppiC_1	K03769
ppiC_2	K03769
ppiD	K03770
surA	K03771
mip	K03773
fklB_1	K03773
fklB_2	K03773
fkpB	K03774
slyD	K03775
aer	K03776
ldhA	K03778
cat	K03781
katB	K03781
srpA	K03781
katE	K03781
aroQ_1	K03786
aroQ1	K03786
aroQ_2	K03786
surE	K03787
rimI	K03789
rimJ	K03790
group_1439	K03791
group_1598	K03791
group_1599	K03791
group_1601	K03791
group_3002	K03791
group_3657	K03797
prc	K03797
ftsH_1	K03798
htpX	K03799
lipB	K03801
dsbG	K03805
ampD	K03806
group_988	K03807
pqiA_1	K03808
pqiA_2	K03808
yebS	K03808
pqiA_3	K03808
group_1417	K03809
pnuC	K03811
mtgA	K03814
xpt	K03816
lnt	K03820
phaC_1	K03821
phaC_2	K03821
aaaT	K03825
yjaB_2	K03827
yjaB_1	K03827
group_1143	K03832
group_867	K03832
group_1168	K03832
group_2068	K03832
group_3466	K03832
sdaC_1	K03837
sdaC_2	K03837
fbp_1	K03841
ndh	K03885
group_1716	K03892
arsB	K03893
alkB	K03919
mdaB	K03923
group_731	K03924
group_796	K03924
mraZ	K03925
group_944	K03928
dedA	K03975
ybaK	K03976
der	K03977
engB	K03978
obg	K03979
murJ_2	K03980
dsbC	K03981
dsbC_2	K03981
glmU_1	K04042
glmU_2	K04042
dnaK_2	K04043
hscA	K04044
dnaK_1	K04046
group_1767	K04047
group_629	K04058
flhB_2	K04061
ohrB	K04063
osmC	K04063
osmY_1	K04065
priA	K04066
tilS	K04075
groL	K04077
groS	K04078
htpG	K04079
ibpA_1	K04080
hscB	K04082
hslO	K04083
dsbD	K04084
tusA_1	K04085
tusA_2	K04085
hflC	K04087
group_745	K04087
hflK	K04088
ssuD	K04091
msuD_1	K04091
msuD_2	K04091
group_3450	K04093
group_1085	K04095
fic	K04095
group_3828	K04096
group_1031	K04343
radA	K04485
iscS_1	K04487
iscS_2	K04487
iscU	K04488
ylxH	K04562
sodB_1	K04564
sodB_2	K04564
lysU	K04567
degS	K04691
bluB	K04719
lptD	K04744
group_1821	K04750
glnK	K04752
mlaA	K04754
group_1069	K04754
fdx_2	K04755
greB	K04760
oxyR_1	K04761
hslR	K04762
xerD	K04763
xerC_7	K04763
ihfA	K04764
mazG	K04765
degP	K04771
group_753	K04773
sohB	K04774
pchB	K04782
alkT	K05297
phnX_2	K05306
group_31	K05343
group_106	K05349
quiA	K05358
quiA_2	K05358
mrcB	K05365
mrcA	K05366
pbpC	K05367
mbtH	K05375
dcyD_2	K05396
mrdA_1	K05515
mrdA_2	K05515
cbpA	K05516
tsx	K05517
yfkM	K05520
fdxA	K05524
astE	K05526
bolA	K05527
dusA	K05539
dusB	K05540
dusC	K05541
ndhB	K05559
mnhC1	K05560
mrpD	K05561
group_1717	K05562
group_2409	K05563
group_2177	K05564
ftsB	K05589
dbpA_1	K05591
deaD	K05592
group_3632	K05595
argP_2	K05596
argP_3	K05596
ansB	K05597
antA	K05599
antB	K05600
group_3626	K05603
macB_1	K05685
macB_3	K05685
tspO	K05770
phnN	K05774
ydcO	K05782
rfaH	K05785
rarD_1	K05786
rarD_2	K05786
hupB_1	K05787
ihfB	K05788
glcC	K05799
lutR_1	K05799
pdhR	K05799
lutR_2	K05799
lutR_4	K05799
nanR_3	K05799
decR_1	K05800
djlA	K05801
mscK	K05802
group_1802	K05805
bamD	K05807
hpf	K05808
yfiH	K05810
rl5	K05810
group_3018	K05812
group_3062	K05812
hcaT	K05820
lysN	K05825
rhtB_1	K05834
rhtB_2	K05834
rhtB_5	K05834
group_1489	K05834
rhtC_1	K05835
group_1388	K05835
rhtC_2	K05835
nagR_2	K05836
mrdB	K05837
cnoX	K05838
rimK	K05844
osmX	K05845
osmX_2	K05845
osmW	K05846
osmY_2	K05846
group_1128	K05846
osmW_2	K05846
osmV	K05847
osmV_2	K05847
group_53	K05851
dhaK2	K05878
dhaL2	K05879
cobK	K05895
scpA	K05896
group_1597	K05913
hmp	K05916
hpcE_1	K05921
hpcE_2	K05921
cobM	K05936
dan	K06015
hyuC_2	K06016
hyuC_2~~~hyuC_1	K06016
ettA_1	K06020
scpB_2~~~scpB_1	K06024
kdsD_1	K06041
cobH	K06042
treY	K06044
slyA_1	K06075
group_3547	K06075
group_426	K06076
group_324	K06076
ompP1	K06076
slyB	K06077
clsB	K06131
clsA	K06131
ywiE	K06131
clsC	K06132
coq7	K06134
pqqA	K06135
pqqB	K06136
pqqC	K06137
pqqD	K06138
pqqE	K06139
rnk	K06140
group_3725	K06142
creD	K06143
gntR	K06145
msbA_1	K06147
bmrA	K06148
uspA2	K06149
group_3830	K06151
group_3845	K06152
uppP_1	K06153
uppP_2~~~uppP_1	K06153
yheS	K06158
yheS_1	K06158
yojI	K06160
miaB	K06168
group_1444	K06169
truA	K06173
truD	K06176
rluA	K06177
group_902	K06177
group_463	K06178
rluC	K06179
rluD	K06180
rluE	K06181
rluF	K06182
rsuA	K06183
bamE	K06186
recR	K06187
corC	K06189
yciB	K06190
pqiB	K06192
group_2189	K06193
group_3776	K06194
apaG	K06195
crcB_1	K06199
crcB_2	K06199
cyaY	K06202
cysZ	K06203
dksA_1	K06204
dksA_2	K06204
dksA_3	K06204
group_1832	K06205
sfsA	K06206
typA	K06207
group_334	K06213
ybeZ	K06217
relE	K06218
cmoM	K06219
dkgB	K06222
group_1877	K06223
group_2336	K06223
dpnM	K06223
group_1060	K06223
group_2413	K06223
yhdE	K06287
group_274	K06415
fadE_1	K06445
fadE_2	K06445
astD	K06447
cidA_1	K06518
rcsC_1	K06596
group_1827	K06598
group_2127	K06603
group_1018	K06606
rbsD	K06726
lptB_2	K06861
lptB_4	K06861
group_1642	K06867
group_1584	K06867
group_555	K06867
group_1177	K06872
group_492	K06872
phrB_1	K06876
queF	K06879
group_788	K06889
group_1132	K06889
group_869	K06889
group_697	K06889
menH_3	K06889
group_3263	K06889
clpS	K06891
group_5	K06894
argO_1	K06895
argO_1~~~argO_2	K06895
yejK	K06899
group_4035	K06899
yejK_2	K06899
adeP	K06901
adeQ	K06901
group_4216	K06903
group_3370	K06903
group_3427	K06903
group_1350	K06904
group_1226	K06904
group_709	K06905
group_4220	K06905
group_3378	K06905
group_3371	K06906
gpFI	K06907
group_4218	K06907
gpFI_2	K06907
group_1646	K06908
yhhW_1	K06911
group_945	K06911
yhhW_2	K06911
group_311	K06915
zapE_2	K06916
zapE_3	K06916
zapE_3~~~zapE_4~~~zapE_1	K06916
selU	K06917
group_4034	K06919
traC_2	K06919
group_196	K06919
group_50	K06919
queC_1	K06920
queC_2	K06920
group_55	K06922
group_901	K06923
tsaE	K06925
group_2645	K06938
group_2731	K06938
group_2662	K06938
group_1780	K06938
group_2715	K06940
group_3530	K06940
group_3747	K06940
group_2294	K06940
group_3070	K06940
rlmN	K06941
ychF	K06942
rsgA	K06949
group_2591	K06950
group_3733	K06953
group_461	K06954
tcyP	K06956
rapZ	K06958
yhgF	K06959
ppnN	K06966
trmK	K06967
rlmM	K06968
rlmI_1	K06969
rlmI_2	K06969
rlmL_2	K06969
rlmF	K06970
group_2398	K06975
ygfZ	K06980
group_764	K06984
group_3448	K06985
group_726	K06987
group_586	K06987
group_3770	K06987
group_1312	K06988
nadX	K06989
group_1921	K06991
group_1285	K06992
group_2112	K06995
group_2174	K06995
group_2098	K06995
group_2093	K06995
yggS	K06997
estB_1	K06999
estB_2	K06999
group_3619	K07000
bamA_1	K07001
group_569	K07001
group_679	K07001
group_3066	K07001
group_3652	K07002
group_98	K07003
group_2940	K07006
puuD	K07010
group_1387	K07018
group_723	K07019
group_1254	K07020
ybhN	K07027
group_276	K07028
group_1472	K07039
group_1542	K07039
yceD	K07040
ybeY	K07042
ygjP	K07043
group_972	K07044
group_1176	K07050
group_914	K07051
group_1062	K07052
group_1160	K07052
group_1075	K07052
yciV	K07053
group_906	K07054
rsmI	K07056
group_801	K07058
group_4167	K07063
group_3805	K07070
group_886	K07071
group_3130	K07074
group_4174	K07075
group_2911	K07076
mltG	K07082
group_410	K07084
aspT	K07085
group_2818	K07085
group_653	K07089
group_2996	K07089
group_1166	K07090
group_1113	K07090
group_1081	K07090
yfcA	K07090
group_1147	K07090
group_3190	K07090
group_3233	K07090
lptF	K07091
group_172	K07093
amgK	K07102
group_3533	K07107
group_1892	K07107
group_3698	K07107
group_493	K07112
group_3080	K07112
group_3127	K07112
group_1758	K07113
group_3559	K07114
group_616	K07114
group_209	K07114
rlmJ	K07115
pvdQ	K07116
quiP_2	K07116
group_1414	K07118
group_681	K07120
lpoA	K07121
group_2323	K07122
isfD_1	K07124
group_1073	K07124
group_1540	K07126
esiB	K07126
pucM	K07127
hiuH	K07127
kynB	K07130
group_3797	K07137
ycbX	K07140
mobA_2	K07141
group_819	K07146
msrP	K07147
group_1431	K07152
group_3826	K07152
hflD	K07153
group_2897	K07154
pcoC	K07156
group_1455	K07157
pxpA3	K07160
pxpA	K07160
group_777	K07165
fecR_1	K07165
group_779	K07165
group_780	K07165
group_761	K07165
fecR_2	K07165
group_733	K07165
fecR_3	K07165
fecR_4	K07165
group_1215	K07168
group_365	K07175
group_3622	K07178
group_169	K07180
group_164	K07182
pdtaR	K07183
group_3538	K07213
pigA	K07215
ydbD	K07217
group_915	K07217
group_458	K07222
czcO	K07222
group_439	K07222
yfeX	K07223
efeO_1	K07224
efeO_2	K07224
group_1171	K07226
tpd	K07230
group_398	K07231
chaC	K07232
dsrE	K07235
tusC	K07236
group_2408	K07237
zupT	K07238
zupT_2	K07238
group_1571	K07240
group_1674	K07240
chrA	K07240
efeU_1	K07243
group_174	K07243
efeU_2	K07243
yebZ	K07245
aldA	K07248
davT_2	K07250
dacC_1	K07258
group_313	K07259
dacC_2~~~dacC_1	K07259
pbpG	K07262
group_302	K07263
group_384	K07263
arnT_3	K07264
arnT_4	K07264
oprB_1	K07267
oprB_2	K07267
group_447	K07267
group_1064	K07274
ompW	K07275
bamA_2	K07277
tamA	K07278
group_1480	K07286
bamC	K07287
group_3506	K07289
group_3519	K07290
chaA	K07300
yrbG	K07301
iorA	K07302
iorB	K07303
msrA_1	K07304
msrA_2	K07304
msrA_3~~~msrA_1	K07304
msrB_1	K07305
msrB_1~~~msrB_2	K07305
group_521	K07315
sasA_17	K07315
group_600	K07318
prmB	K07320
group_1336	K07323
shlB_2	K07326
shlB_3	K07326
shlB_1	K07326
higB_2	K07334
group_1280	K07336
group_1470	K07337
group_638	K07338
ybbJ	K07340
group_2426	K07343
group_3430	K07344
smf1_1~~~smf1_2	K07345
group_1078	K07346
group_4075	K07346
htrE_1	K07347
fimD_1	K07347
group_92	K07347
htrE_2	K07347
group_4066	K07347
group_77	K07347
grxD	K07390
comM	K07391
yqjG	K07393
group_1374	K07394
group_1165	K07395
group_1368	K07396
yhfA	K07397
group_1953	K07397
nfuA	K07400
group_2377	K07401
group_979	K07402
pucA	K07402
pgl_2	K07404
group_2933	K07443
group_48	K07445
yqgF	K07447
mrr	K07448
group_861	K07448
group_1202	K07451
group_2229	K07451
group_2075	K07451
group_3256	K07451
group_4062	K07455
group_231	K07459
group_2082	K07460
group_2418	K07461
recJ	K07462
group_2516	K07474
group_1638	K07474
group_1152	K07474
rarA	K07478
group_990	K07481
group_4076	K07481
group_4153	K07481
group_4166	K07481
group_2694	K07481
group_3131	K07481
group_3313	K07481
group_4072	K07482
group_4189	K07482
group_1884	K07482
group_3862	K07483
group_4013	K07483
group_2314	K07483
group_4271	K07483
group_2265	K07483
group_2232	K07483
group_2892	K07483
group_2213	K07484
group_4090	K07484
group_1461	K07484
group_4311	K07484
group_4306	K07484
group_2842	K07484
group_2491	K07484
group_765	K07484
group_1664	K07484
group_2476	K07484
group_2132	K07484
group_1151	K07484
group_1373	K07484
group_3103	K07484
group_4263	K07485
group_3986	K07486
group_3570	K07491
group_3492	K07491
group_3863	K07497
group_3938	K07497
group_1893	K07497
group_3959	K07497
group_4043	K07497
group_1169	K07497
group_4270	K07497
group_2728	K07497
group_162	K07497
group_2029	K07497
group_3065	K07497
rhaS_4	K07506
group_2007	K07506
mgtC	K07507
srpB	K07507
bcr_1	K07552
bcr_2	K07552
bcr_3	K07552
mdtL_2	K07552
dtd	K07560
tsaC	K07566
queA	K07568
yhbY	K07574
group_3768	K07577
folX	K07589
phoR	K07636
phoQ	K07637
envZ	K07638
sasA_6	K07639
sasA_22	K07639
creC	K07641
cusS	K07644
czcS_1	K07644
czcS_2	K07644
hprS	K07644
sasA_21	K07644
cusS_2	K07644
sasA_1	K07645
qseC_2	K07645
rssA	K07645
kdpD_1	K07646
kdpD_2	K07646
qseC_1	K07649
phoB	K07657
ompR_3	K07659
phoP_2	K07660
rstA_1	K07661
rstA_3	K07661
cpxR	K07662
creB	K07663
copR	K07665
czcR_3	K07665
czcR_4	K07665
czcR_5	K07665
czcR_6	K07665
copR_3	K07665
czcR_1~~~czcR_2	K07665
qseB_1	K07666
qseB_2	K07666
qseB_3	K07666
kdpE_1	K07667
kdpE_2	K07667
rcsC_13	K07677
rcsC_15	K07677
barA	K07678
bvgS_1	K07679
group_25	K07679
bvgS_3	K07679
group_23	K07679
rcsB_2	K07687
group_1340	K07687
rcsB_4	K07687
group_4268	K07687
group_1252	K07687
rcsB_3	K07687
gacA	K07689
bvgA_2	K07690
bvgA_4	K07690
group_1395	K07690
bvgA_1	K07690
bvgA_3	K07690
bvgA_3~~~bvgA_1	K07690
glnL	K07708
glnG	K07712
group_2356	K07726
group_2625	K07727
group_2791	K07729
group_3357	K07733
paiB	K07734
group_1509	K07735
nrdR	K07738
rsd	K07740
group_4136	K07746
group_3008	K07746
smtB_2	K07749
tctD	K07774
anoR_1	K07782
sdiA	K07782
cusA	K07787
mdtB_1	K07788
mdtB_2	K07788
mdtC_2	K07789
mdtC_3~~~mdtC_4~~~mdtC_1	K07789
yedA_1	K07790
group_294	K07793
group_1818	K07794
group_751	K07795
cusB	K07798
mdtA_1	K07799
mdtA_6	K07799
group_543	K07799
pcaF	K07823
sstT	K07862
lytR	K08083
group_73	K08086
sotB_3	K08159
ribZ	K08169
exuT_1	K08191
exuT_2	K08191
dgoT	K08194
pcaK_1	K08195
pcaK_2	K08195
group_289	K08218
fsr	K08223
ynfM_2	K08224
ynfM_1	K08224
group_1341	K08281
purT	K08289
sixA	K08296
rne	K08300
rng	K08301
rlhA_2	K08303
mltA	K08304
mltB	K08305
group_405	K08305
mltD	K08307
slt	K08309
rppH	K08311
nudE	K08312
rsmD	K08316
sad_1	K08324
naiP	K08369
nanT_1~~~naiP_1	K08369
ydjE	K08369
kaiC_2	K08482
kaiC_3	K08482
group_319	K08482
kaiC_4	K08482
kaiC_4~~~kaiC_1	K08482
ptsP	K08484
ptsO	K08485
plsY	K08591
acpH	K08682
group_3170	K08717
oprJ_1	K08721
oprJ_2	K08721
oprJ_3	K08721
group_986	K08738
group_2074	K08738
mtnA	K08963
mtnX	K08966
mtnD	K08967
msrC	K08968
group_1911	K08973
group_3709	K08985
group_1410	K08988
group_1912	K08989
group_928	K08994
group_897	K08994
group_1679	K08995
selO	K08997
anmK	K09001
folE2	K09007
rutR_1	K09017
rutR_2	K09017
rutR_3	K09017
group_3884	K09023
group_115	K09136
group_2417	K09158
sdhE	K09159
group_1852	K09160
group_3808	K09165
group_176	K09384
aidB	K09456
fabF_1	K09458
fabF_2	K09458
puuB_1	K09471
puuB_3	K09471
puuB_4	K09471
puuB_7	K09471
puuB_8	K09471
tagG	K09690
group_1001	K09690
kpsM	K09690
btuD_3	K09691
group_370	K09691
group_413	K09691
bkdB	K09699
group_1035	K09701
group_1657	K09705
rsfS	K09710
ybaB	K09747
rimP	K09748
group_300	K09760
rsmE	K09761
group_1727	K09767
group_1826	K09768
ppsR	K09773
lptA	K09774
yciI_1	K09780
group_449	K09786
group_509	K09788
ybaN	K09790
group_1996	K09790
group_2752	K09791
group_1273	K09792
group_3486	K09796
group_1760	K09796
group_3488	K09798
tamB	K09800
group_3091	K09801
ubiK	K09806
lolE_1	K09808
lolE_2	K09808
lolD_1	K09810
ftsX	K09811
ftsE	K09812
psaA	K09815
znuA	K09815
znuB_1	K09816
znuB_2	K09816
znuC_1	K09817
znuC_2	K09817
zur	K09823
group_3537	K09857
group_1529	K09857
group_3777	K09858
group_364	K09859
yaaA	K09861
yacG	K09862
cobS_2	K09882
zapA	K09888
group_1626	K09889
group_2808	K09890
group_2679	K09892
group_1533	K09895
group_2610	K09898
ycgL	K09902
pyrH	K09903
group_1885	K09908
group_1559	K09912
ppnP	K09913
group_3798	K09914
group_1337	K09915
group_2481	K09916
group_2478	K09918
group_577	K09919
group_3520	K09920
group_1198	K09921
group_2172	K09923
group_1634	K09924
group_1582	K09926
group_474	K09927
group_1627	K09928
group_3724	K09930
group_976	K09930
group_1534	K09932
group_1462	K09932
mtfA	K09933
group_1709	K09936
group_1836	K09936
group_1715	K09936
group_1770	K09936
group_674	K09938
group_2091	K09940
group_1099	K09945
group_601	K09947
group_2349	K09948
group_1590	K09950
group_1624	K09950
group_2574	K09954
group_1745	K09958
group_564	K09960
group_381	K09961
group_3307	K09962
group_1995	K09964
group_2959	K09965
group_1383	K09967
group_1182	K09967
group_971	K09967
yhdW_2	K09969
yhdW_1~~~yhdW_2	K09969
group_522	K09970
yhdY	K09971
glnQ_5	K09972
ves	K09975
group_810	K09977
group_1262	K09980
group_1660	K09983
group_1530	K09986
group_525	K09989
group_1185	K09992
gltI_1	K10001
gltI_2	K10001
gltK	K10002
gltJ	K10003
glnQ_4	K10004
yecS_3	K10009
tcyC_2	K10010
arnA	K10011
arnC	K10012
hisJ_1	K10013
hisJ_2	K10013
argT_3	K10013
hisM_1	K10015
hisM_2	K10015
hisQ_1	K10016
hisQ_3	K10016
hisP_1	K10017
hisP_3	K10017
argT_1	K10022
argT_2	K10022
occM_2	K10023
hisQ_2	K10024
hisP_2	K10025
queE	K10026
malK	K10111
ugpC_1	K10112
dctB_1	K10125
dctB_3	K10125
dctD_1	K10126
dctD_4	K10126
group_406	K10227
group_411	K10227
lacF	K10228
group_999	K10229
ohyA	K10254
rbsB_1	K10439
thpA_1	K10439
rbsB_2	K10439
rbsC_1	K10440
rbsC_2	K10440
rbsC_4	K10440
rbsA_2	K10441
araG_3	K10441
mglA~~~rbsA_1	K10441
pvdA	K10531
aguA	K10536
araF_1	K10537
araF_2	K10537
araH_1	K10538
araH_2	K10538
araG_1	K10539
araG_2	K10539
mutM	K10563
nemA_3	K10680
nemA_4	K10680
fae	K10713
group_684	K10716
group_3214	K10716
hda	K10763
metZ_2	K10764
nth	K10773
ada	K10778
tesA	K10804
tesB	K10805
group_1983	K10806
tauB	K10831
hmuV	K10834
dinG_2	K10844
vfr	K10914
group_1766	K10914
group_3548	K10914
norR_1	K10941
atoS	K10942
atoC_2	K10943
codB	K10974
ku	K10979
hlyD	K11003
group_559	K11003
ltxD	K11003
apxIB	K11004
group_152	K11004
shlA	K11016
group_215	K11017
tpx	K11065
amiD_2	K11066
group_1408	K11068
group_3881	K11069
ydcV_3	K11070
group_3873	K11071
group_3874	K11072
spuD_1	K11073
spuD_2	K11073
spuE_1	K11073
spuD_3	K11073
spuE_2	K11073
spuE_3	K11073
ydcV_1	K11074
potH	K11075
potA_1	K11076
msbA_2	K11085
gltP_1	K11102
dctA_1	K11103
dctA2	K11103
dctA_2	K11103
nhaP2	K11105
purN_1	K11175
paoC	K11177
paoB	K11178
tusE	K11179
nit1	K11206
group_1376	K11208
yghU	K11209
yfcG_3	K11209
yfcG_4	K11209
yfcG_5	K11209
yfcG_2	K11209
scpB_2	K11264
antC	K11311
cph1	K11354
kinB	K11383
algB	K11384
rlmG	K11391
divK	K11443
cheB_2	K11444
group_3876	K11472
lutA	K11473
glcC_2	K11474
group_3887	K11477
ttuD	K11529
deoR	K11534
lptC	K11719
lptG	K11720
acdA_1	K11731
aroP_1	K11734
aroP_2	K11734
gabP_2	K11735
gdx	K11741
gdx_2	K11741
kefC_2	K11747
rseP	K11749
ribD	K11752
ribF	K11753
folC	K11754
arsH	K11811
arsH_2	K11811
group_1330	K11890
group_26	K11891
group_20	K11891
group_29	K11891
group_30	K11891
group_1027	K11891
group_435	K11892
group_946	K11892
group_1281	K11892
group_397	K11893
group_372	K11893
group_402	K11893
group_390	K11893
group_529	K11894
group_669	K11895
group_757	K11895
group_739	K11895
group_607	K11895
group_180	K11896
group_217	K11896
group_199	K11896
group_203	K11896
group_1640	K11897
group_299	K11900
group_305	K11900
group_314	K11900
group_282	K11900
group_1665	K11901
group_1690	K11901
group_1692	K11901
group_1681	K11901
group_3160	K11901
group_700	K11902
hcp1_1	K11903
hcp1_2	K11903
hcpA_1	K11903
hcpA_2	K11903
hcpA_3~~~hcpA_2	K11903
vgrG1_1	K11904
vgrG1_2	K11904
vgrG1_3	K11904
group_99	K11904
group_3142	K11904
group_1944	K11905
group_1883	K11905
group_2920	K11905
group_1593	K11906
group_2965	K11906
clpV1_1	K11907
clpV1_2	K11907
group_76	K11907
clpV1_3	K11907
group_278	K11910
group_264	K11910
group_3086	K11910
pknD_1	K11912
group_414	K11913
cynR_3	K11921
rhlE_1	K11927
rhlE_3	K11927
putP_1	K11928
pgaB	K11931
pgaA	K11935
pgaC	K11936
rhtA	K11939
amiC_2	K11959
amiC_3	K11959
group_3586	K11960
livH_3	K11960
group_3513	K11961
group_548	K11961
lptB_1	K11962
livF_5	K11962
livF_2	K11963
livF_4	K11963
tadA	K11991
group_3975	K12056
group_4005	K12057
group_4014	K12058
group_3969	K12060
group_4044	K12061
group_3990	K12062
traC_1	K12063
group_4038	K12064
group_3987	K12065
group_3982	K12066
group_3995	K12067
group_4051	K12069
group_4009	K12070
group_4006	K12071
group_4042	K12072
dapL_1	K12252
aruI_2	K12253
puuC	K12254
gbuA	K12255
spuC	K12256
yodB_1	K12262
group_1548	K12262
yodB_2	K12262
norR_2	K12266
rlmL_1	K12297
cysM	K12339
tolC_1	K12340
tolC_2	K12340
group_306	K12340
group_356	K12340
dppA_1	K12368
dppA_2	K12368
dppA_3	K12368
dppA_4	K12368
dppA_5	K12368
dppB_1	K12369
dppC	K12370
dppD	K12371
ddpF	K12372
sir2_2	K12410
sir2~~~sir2_1	K12410
group_3650	K12510
group_3637	K12511
papC	K12518
yfcS	K12519
prsD	K12536
prsE_1	K12537
tolC_3	K12538
ltxB	K12541
apxIB_1	K12541
apxIB_2	K12541
btuD_2	K12541
prsE_2	K12542
prsE_3	K12542
group_467	K12542
group_470	K12542
bepC	K12543
group_4083	K12543
group_304	K12543
group_330	K12543
rnr	K12573
proR	K12658
group_19	K12685
group_46	K12685
group_39	K12685
estA	K12686
mtaD	K12960
mtaD_1	K12960
arnE_3	K12962
arnF	K12963
pagL	K12976
group_823	K12979
group_858	K12979
group_3648	K12988
arnB_2	K13010
pglC	K13012
arnD	K13014
coaBC	K13038
sulA	K13053
fieF	K13283
orn	K13288
lgt	K13292
nuoC	K13378
group_3679	K13472
group_325	K13481
pucD	K13482
paoA	K13483
uao	K13485
wspC	K13486
group_251	K13487
group_1653	K13488
group_1234	K13489
rcsC_11	K13490
cheB_3	K13491
alkA	K13529
cysG_1	K13541
yafV	K13566
group_3803	K13590
dpkA	K13609
iscA	K13628
cysB	K13634
soxR	K13639
iscR	K13643
mqsR	K13651
group_2619	K13652
group_3194	K13653
group_1713	K13655
ndvB	K13688
nspC	K13747
menB	K13766
group_930	K13774
group_189	K13776
accA1_1	K13777
accA_1	K13778
crt_1	K13779
pta	K13788
ispA	K13789
putA	K13821
group_1082	K13874
araC	K13875
group_267	K13877
LhpG	K13877
macA_1	K13888
macA_3	K13888
appA	K13893
sgrR	K13893
group_188	K13893
yejB_1	K13894
