Plate_no	"Well
Row"	"Well
Col"	Well	Type	Group	0	3	5	7	Slope	Percent_growth	Percent_inhibition	Bd_strain	P_value	Pond
2	D	2	D2	Pos_Control	Bd_Tryptone	0.154	0.627	0.891	1.781	0.218850467	115.3512704	-15.35127041	Jel197	0.268873501	N/A
2	D	3	D3	Pos_Control	Bd_Tryptone	0.144	0.593	0.648	1.574	0.184700935	97.35180241	2.64819759	Jel197		N/A
2	D	4	D4	Pos_Control	Bd_Tryptone	0.144	0.588	0.765	1.5881	0.192021495	101.2103091	-1.210309055	Jel197		N/A
2	D	8	D8	Unknown	CP10A	0.192	0.217	0.221	0.233	0.005635514	2.970355556	97.02964444	Jel197	4.22106E-07	Conness Pond
2	D	9	D9	Unknown	CP10A	0.172	0.207	0.224	0.283	0.014934579	7.871688522	92.12831148	Jel197		Conness Pond
2	D	10	D10	Unknown	CP10A	0.195	0.234	0.24	0.27	0.010121495	5.33481769	94.66518231	Jel197		Conness Pond
1	D	5	D5	Unknown	CP12E	0.167	0.578	0.633	0.867	0.095299065	50.23004246	49.76995754	Jel197	3.92342E-05	Conness Pond
1	D	6	D6	Unknown	CP12E	0.179	0.353	0.622	0.819	0.093579439	49.32366531	50.67633469	Jel197		Conness Pond
1	D	7	D7	Unknown	CP12E	0.175	0.334	0.705	0.795	0.095635514	50.40737712	49.59262288	Jel197		Conness Pond
1	B	11	B11	Unknown	CP13A	0.199	0.292	0.331	0.332	0.019719626	10.39378146	89.60621854	Jel197	1.51756E-06	Conness Pond
1	C	11	C11	Unknown	CP13A	0.197	0.282	0.317	0.312	0.017196262	9.063771514	90.93622849	Jel197		Conness Pond
1	D	11	D11	Unknown	CP13A	0.217	0.331	0.368	0.367	0.022084112	11.64005005	88.35994995	Jel197		Conness Pond
1	C	8	C8	Unknown	CP15C	0.182	0.231	0.234	0.221	0.005794393	3.054096923	96.94590308	Jel197	1.53164E-07	Conness Pond
1	C	9	C9	Unknown	CP15C	0.197	0.259	0.261	0.246	0.007205607	3.797917303	96.2020827	Jel197		Conness Pond
1	C	10	C10	Unknown	CP15C	0.201	0.306	0.338	0.337	0.019981308	10.53170842	89.46829158	Jel197		Conness Pond
1	C	5	C5	Unknown	CP17D	0.236	0.65	0.86	0.838	0.090691589	47.80154281	52.19845719	Jel197	2.69196E-05	Conness Pond
1	C	6	C6	Unknown	CP17D	0.194	0.735	0.86	0.93	0.105373832	55.54023034	44.45976966	Jel197		Conness Pond
1	C	7	C7	Unknown	CP17D	0.175	0.622	0.861	0.918	0.109794393	57.87021073	42.12978927	Jel197		Conness Pond
1	B	8	B8	Unknown	CP19F2	0.165	0.345	0.459	0.519	0.051700935	27.2504261	72.7495739	Jel197	2.93386E-06	Conness Pond
1	B	9	B9	Unknown	CP19F2	0.17	0.289	0.378	0.597	0.058261682	30.70845197	69.29154803	Jel197		Conness Pond
1	B	10	B10	Unknown	CP19F2	0.177	0.313	0.407	0.609	0.059420561	31.31927135	68.68072865	Jel197		Conness Pond
1	B	5	B5	Unknown	CP20G1	0.164	0.585	0.751	0.91	0.106261682	56.0081968	43.9918032	Jel197	1.90601E-05	Conness Pond
1	B	6	B6	Unknown	CP20G1	0.18	0.372	0.645	0.94	0.108682243	57.28402116	42.71597884	Jel197		Conness Pond
1	B	7	B7	Unknown	CP20G1	0.201	0.793	0.742	0.9	0.093607477	49.3384432	50.6615568	Jel197		Conness Pond
1	F	8	F8	Unknown	CP2A	0.173	0.407	0.734	0.786	0.094130841	49.61429711	50.38570289	Jel197	0.0001165	Conness Pond
1	F	9	F9	Unknown	CP2A	0.19	0.322	0.535	0.62	0.064663551	34.08273647	65.91726353	Jel197		Conness Pond
1	F	10	F10	Unknown	CP2A	0.211	0.386	0.687	0.791	0.087803738	46.27942031	53.72057969	Jel197		Conness Pond
1	F	5	F5	Unknown	CP3F2	0.183	0.262	0.482	0.487	0.048691589	25.66426608	74.33573392	Jel197	8.83757E-07	Conness Pond
1	F	6	F6	Unknown	CP3F2	0.188	0.351	0.416	0.51	0.045205607	23.82688196	76.17311804	Jel197		Conness Pond
1	F	7	F7	Unknown	CP3F2	0.153	0.334	0.49	0.566	0.060850467	32.07294366	67.92705634	Jel197		Conness Pond
1	F	2	F2	Unknown	CP5A	0.194	0.29	0.394	0.483	0.041766355	22.01412766	77.98587234	Jel197	7.11824E-05	Conness Pond
1	F	3	F3	Unknown	CP5A	0.196	0.319	0.465	0.73	0.074	39.00377329	60.99622671	Jel197		Conness Pond
1	F	4	F4	Unknown	CP5A	0.202	0.317	0.446	0.653	0.062971963	33.19113721	66.80886279	Jel197		Conness Pond
2	E	8	E8	Unknown	CP6A	0.19	0.278	0.323	0.338	0.021728972	11.45286346	88.54713654	Jel197	5.19722E-07	Conness Pond
2	E	9	E9	Unknown	CP6A	0.19	0.362	0.399	0.41	0.031672897	16.69408786	83.30591214	Jel197		Conness Pond
2	E	10	E10	Unknown	CP6A	0.187	0.397	0.4	0.41	0.031158879	16.42315991	83.57684009	Jel197		Conness Pond
2	E	5	E5	Unknown	CP8C	0.177	0.248	0.311	0.415	0.033186916	17.49209383	82.50790617	Jel197	2.58989E-06	Conness Pond
2	E	6	E6	Unknown	CP8C	0.19	0.28	0.369	0.422	0.034028037	17.93543048	82.06456952	Jel197		Conness Pond
2	E	7	E7	Unknown	CP8C	0.199	0.286	0.402	0.45	0.037542056	19.78759248	80.21240752	Jel197		Conness Pond
2	C	2	C2	HK	Heat killed	0.177	0.21	0.215	0.259	0.010813084	5.699338936	94.30066106	Jel197	4.66757E-07	N/A
2	C	3	C3	HK	Heat killed	0.187	0.212	0.219	0.234	0.006504673	3.428470094	96.57152991	Jel197		N/A
2	C	4	C4	HK	Heat killed	0.178	0.184	0.186	0.196	0.002392523	1.261046472	98.73895353	Jel197		N/A
2	C	2	C2	HK	Heat killed	0.162	0.196	0.205	0.222	0.008345794	4.398884762	95.60111524	Jel197	8.10837E-07	N/A
2	C	3	C3	HK	Heat killed	0.183	0.192	0.197	0.202	0.00271028	1.428529206	98.57147079	Jel197		N/A
2	C	4	C4	HK	Heat killed	0.167	0.185	0.185	0.198	0.004102804	2.16249766	97.83750234	Jel197		N/A
2	E	2	E2	Neg_Control	Tryptone	0.149	0.153	0.149	0.145	-0.000598131	-0.315261618	100.3152616	Jel197	1.29846E-06	N/A
2	E	3	E3	Neg_Control	Tryptone	0.159	0.154	0.15	0.148	-0.001616822	-0.852191561	100.8521916	Jel197		N/A
2	E	4	E4	Neg_Control	Tryptone	0.153	0.151	0.145	0.142	-0.001654206	-0.871895412	100.8718954	Jel197		N/A
2	E	2	E2	Neg_Control	Tryptone	0.163	0.713	0.748	1.074	0.122598131	64.61877974	35.38122026	Jel197	0.009158457	N/A
2	E	3	E3	Neg_Control	Tryptone	0.153	0.701	0.779	0.879	0.102093458	53.8112174	46.1887826	Jel197		N/A
2	E	4	E4	Neg_Control	Tryptone	0.165	0.565	0.605	0.602	0.062439252	32.91035733	67.08964267	Jel197		N/A
1	D	8	D8	Unknown	628C	0.224	0.236	0.247	0.32	0.012401869	7.000945242	92.99905476	Jel197	7.12997E-07	Sixty Lake
1	D	9	D9	Unknown	628C	0.203	0.208	0.234	0.3	0.013093458	7.391352136	92.60864786	Jel197		Sixty Lake
1	D	10	D10	Unknown	628C	0.199	0.195	0.203	0.218	0.002607477	1.471939505	98.5280605	Jel197		Sixty Lake
1	D	5	D5	Unknown	630A	0.175	0.28	0.285	0.252	0.011551402	6.520850278	93.47914972	JEL423	3.91882E-06	Sixty Lake
1	D	6	D6	Unknown	630A	0.162	0.264	0.259	0.246	0.011878505	6.705502187	93.29449781	JEL423		Sixty Lake
1	D	7	D7	Unknown	630A	0.17	0.243	0.294	0.229	0.010915888	6.162097997	93.837902	JEL423		Sixty Lake
